State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Maryland,916244,922051,920896,911097,894209,880927,860929,836912,809933,777725,750665,721841,699201,683491,673840,671560,675747,683797,688947,698806,715176,736238,751850,772638,790938,805544,805345,817013,834506,840516,847044,854937,866743,869113,865561,860020,851640,845700,843861,848412,852211,854086,857600,862300
Massachusetts,1167713,1191179,1202597,1205142,1210100,1198410,1169000,1116810,1081464,1035724,1021885,947037,908984,878844,859391,844330,833918,825320,823428,825588,834314,846155,859948,877726,893727,915007,930003,944192,963390,967336,979733,973467,982989,980459,975574,971909,968661,962958,958910,957053,955563,953369,950300,945200
Michigan,2152256,2182885,2164949,2123611,2137612,2073288,2035703,1968975,1911345,1860498,1797052,1724787,1674697,1635963,1609448,1602747,1597154,1589287,1582785,1576785,1584431,1593561,1603610,1599377,1614784,1641456,1597917,1591107,1603658,1606825,1608275,1694815,1785160,1757604,1751290,1742282,1722656,1692739,1659921,1649082,1587067,1573537,1555400,1541400
Minnesota,920839,913955,909653,900377,889535,879944,862591,836420,807716,778056,754318,733741,715190,705236,701697,705140,711134,721481,726950,739553,756374,773571,793724,810233,821693,835166,830471,852685,856410,855034,854284,851384,846891,842854,838503,839243,840565,837578,836048,837053,838037,839738,845400,850800
Mississippi,534395,529366,526366,519786,513476,512407,510209,502025,493710,482039,477059,471615,468294,467744,466058,471195,498639,505550,503326,502020,502417,504127,506668,505907,505962,506272,489748,490565,487274,485322,482996,479311,492645,493540,495376,494954,495026,494122,491962,492481,490526,490619,491700,489400
Missouri,1039477,1023374,1030008,1019803,1001705,965360,950142,931232,900002,872933,844648,818705,802535,795453,793793,795107,800606,802060,806639,807934,816558,842965,859357,866378,878541,889881,890615,900138,902950,905090,903542,908679,906499,905941,905449,917705,920353,917188,917871,917982,918710,916584,916300,916700
Montana,176712,178367,179877,173559,172158,171788,170552,168732,164326,158208,155193,153435,152335,153646,154412,153869,153327,152207,152191,151265,152974,155779,160011,163009,164341,165547,164111,161993,159620,157204,154585,151692,149995,148356,146705,145416,144418,142823,141899,141807,141693,142349,143100,143800
Nebraska,329110,332375,329192,323211,318792,315669,312024,306207,297796,287288,280430,273340,269009,266998,265599,265819,267139,268100,269434,270920,274081,279552,282414,285097,287100,289744,291967,292681,291140,288261,286199,285095,285402,285542,285761,286646,287580,291244,292590,295368,298500,301296,304100,306200
Nevada,127550,130186,131660,135406,137051,139745,141791,143444,146281,147734,149481,151339,151104,150442,151633,154948,161239,168353,176474,186834,201316,211810,222974,235800,250747,265041,281509,295972,310538,324900,339985,356141,369498,385401,400083,412395,424766,429362,433371,428947,437149,439634,442300,446000
New Hampshire,158756,164102,168094,171482,172117,174597,175496,174618,172389,170546,167232,163827,160197,159030,158614,160974,163717,166045,169413,171696,172785,177138,181247,185360,189319,194171,203963,200149,204044,206154,207620,206144,207671,207417,206852,205767,203572,200772,197934,197140,194711,191900,189000,186800
