State,Year,Students Per Teacher,Median Teacher Salary
Washington,1987,20.2,55323
West Virginia,1987,15.2,42616
Wisconsin,1987,16.2,57098
Wyoming,1987,14.5,53200
Alabama,1988,18.7,46505
Alaska,1988,17,78250
Arizona,1988,18.2,53409
Arkansas,1988,15.7,40096
California,1988,22.7,65001
Colorado,1988,17.8,55394
Connecticut,1988,13,69984
Delaware,1988,16.4,59193
District of Columbia,1988,14.3,69774
Florida,1988,17.1,50552
Georgia,1988,18.5,50450
Hawaii,1988,19.2,57681
Idaho,1988,20.6,42605
Illinois,1988,17.1,58368
Indiana,1988,17.8,54650
Iowa,1988,15.8,48310
Kansas,1988,15.2,51275
Kentucky,1988,17.8,46721
Louisiana,1988,18.2,42111
Maine,1988,14.6,46736
Maryland,1988,16.8,63522
Massachusetts,1988,13.7,60385
Michigan,1988,19.8,64974
Minnesota,1988,17,57459
Mississippi,1988,18.4,42313
Missouri,1988,15.9,48737
Montana,1988,15.8,45767
Nebraska,1988,15,44687
Nevada,1988,20.3,54049
New Hampshire,1988,16.2,50042
New Jersey,1988,13.6,61914
New Mexico,1988,18.5,45535
New York,1988,14.9,68693
North Carolina,1988,17.5,48235
North Dakota,1988,15.4,41696
Ohio,1988,17.6,55606
Oklahoma,1988,16.5,41923
Oregon,1988,18.4,55079
Pennsylvania,1988,15.9,58561
Rhode Island,1988,14.5,64155
South Carolina,1988,17.2,48020
South Dakota,1988,15.4,38475
Tennessee,1988,19.3,48012
Texas,1988,16.7,49714
Utah,1988,24.5,42827
Vermont,1988,13.6,50799
Virginia,1988,16.1,54287
Washington,1988,20.4,54721
West Virginia,1988,15.1,41050
Wisconsin,1988,16,57682
Wyoming,1988,14.6,51788
Alabama,1989,18.1,44411
Alaska,1989,16.8,77189
Arizona,1989,18.9,52592
Arkansas,1989,17,39982
California,1989,22.4,67968
Colorado,1989,17.6,55018
Connecticut,1989,13.3,72374
Delaware,1989,16.4,59702
District of Columbia,1989,13.4,68691
Florida,1989,17.2,51521
Georgia,1989,18.3,50095
Hawaii,1989,19.1,57323
Idaho,1989,20.1,42681
Illinois,1989,16.9,58660
Indiana,1989,17.5,55275
Iowa,1989,15.7,47843
Kansas,1989,15,51415
Kentucky,1989,17.7,47029
Louisiana,1989,17.6,43466
Maine,1989,14.1,48083
Maryland,1989,16.8,64965
Massachusetts,1989,14,62090
Michigan,1989,19.7,66312
Minnesota,1989,17.2,57579
Mississippi,1989,18.2,43452
Missouri,1989,15.7,48464
Montana,1989,15.7,44863
Nebraska,1989,14.7,45652
Nevada,1989,20.4,54717
New Hampshire,1989,16.2,51848
New Jersey,1989,13.5,63815
New Mexico,1989,18.3,44282
New York,1989,14.7,69626
North Carolina,1989,17.1,49875
North Dakota,1989,15.1,41169
Ohio,1989,17.4,55841
Oklahoma,1989,16.2,41266
Oregon,1989,18.4,55164
Pennsylvania,1989,15.7,59633
Rhode Island,1989,14.5,64496
South Carolina,1989,17,48684
South Dakota,1989,15.5,38100
Tennessee,1989,19.1,48389
Texas,1989,16.7,49183
Utah,1989,24.9,42368
Vermont,1989,13.8,51895
Virginia,1989,15.9,55340
Washington,1989,20.1,54479
West Virginia,1989,15.1,40858
Wisconsin,1989,15.9,57098
Wyoming,1989,14.5,50337
Alabama,1990,19.9,45578
Alaska,1990,17,73652
Arizona,1990,19.4,52191
Arkansas,1990,16.8,40044
California,1990,22.8,67158
Colorado,1990,17.8,53965
Connecticut,1990,13.5,74299
Delaware,1990,16.7,59777
District of Columbia,1990,13.6,66987
Florida,1990,17.2,51821
Georgia,1990,18.3,49143
Hawaii,1990,18.9,55190
Idaho,1990,19.6,43223
Illinois,1990,16.7,58690
Indiana,1990,17.4,55556
Iowa,1990,15.6,47449
Kansas,1990,15,50485
Kentucky,1990,17.3,49379
Louisiana,1990,17.3,44503
Maine,1990,13.9,48389
Maryland,1990,16.8,65096
Massachusetts,1990,15.4,61836
Michigan,1990,19.8,66906
Minnesota,1990,17.4,56182
Mississippi,1990,17.9,41325
Missouri,1990,15.6,47973
Montana,1990,15.9,45409
Nebraska,1990,14.6,45100
Nevada,1990,19.4,54627
New Hampshire,1990,16.2,52915
New Jersey,1990,13.6,65145
New Mexico,1990,18.1,43647
New York,1990,14.7,71368
North Carolina,1990,16.9,49652
North Dakota,1990,15.5,39982
Ohio,1990,17.2,55315
Oklahoma,1990,15.6,41479
Oregon,1990,18,54781
Pennsylvania,1990,16.6,61153
Rhode Island,1990,14.6,59355
South Carolina,1990,16.8,47999
South Dakota,1990,15.2,37950
Tennessee,1990,19.2,47909
Texas,1990,15.4,48033
Utah,1990,25,43380
Vermont,1990,13.2,52976
Virginia,1990,15.7,54532
Washington,1990,20.1,56102
West Virginia,1990,15,44040
Wisconsin,1990,16.2,56323
Wyoming,1990,14.5,49096
Alabama,1991,17.8,44323
Alaska,1991,16.7,73394
Arizona,1991,19.3,51233
Arkansas,1991,17,44485
California,1991,22.8,65606
Colorado,1991,17.9,54349
Connecticut,1991,14,77190
Delaware,1991,16.8,56774
District of Columbia,1991,12.7,63759
Florida,1991,17.6,51059
Georgia,1991,18.5,48268
Hawaii,1991,18.5,56742
Idaho,1991,19.4,43276
Illinois,1991,16.8,59918
Indiana,1991,17.6,55884
Iowa,1991,15.7,47989
Kansas,1991,15.2,50502
Kentucky,1991,17.2,50730
Louisiana,1991,17.2,42666
Maine,1991,14,49460
Maryland,1991,16.9,63644
Massachusetts,1991,15.1,62192
Michigan,1991,19.2,68183
Minnesota,1991,17.2,56615
Mississippi,1991,17.9,40043
Missouri,1991,16,47485
Montana,1991,15.8,45340
Nebraska,1991,14.7,44750
Nevada,1991,18.6,55639
New Hampshire,1991,15.5,54510
New Jersey,1991,13.8,67422
New Mexico,1991,17.6,43120
New York,1991,15.4,71214
North Carolina,1991,16.8,47314
North Dakota,1991,15.3,40254
Ohio,1991,17.3,54119
Oklahoma,1991,15.6,41641
Oregon,1991,18.6,56038
Pennsylvania,1991,16.8,63622
Rhode Island,1991,14.6,59846
South Carolina,1991,16.9,46125
South Dakota,1991,14.8,38275
Tennessee,1991,19.4,47034
Texas,1991,15.8,47724
Utah,1991,24.9,43284
Vermont,1991,13.8,55292
Virginia,1991,15.7,52199
Washington,1991,20.2,57226
West Virginia,1991,15.3,44972
Wisconsin,1991,15.7,57890
Wyoming,1991,15.6,49999
Alabama,1992,17.4,42952
Alaska,1992,16.8,74421
Arizona,1992,18.7,49962
Arkansas,1992,17,43716
California,1992,24,63799
Colorado,1992,18.3,53450
Connecticut,1992,14.3,77038
Delaware,1992,16.7,57714
District of Columbia,1992,13.3,61674
Florida,1992,18.4,49675
Georgia,1992,18,48163
Hawaii,1992,17.6,58118
Idaho,1992,19.6,43044
Illinois,1992,16.8,61563
Indiana,1992,17.6,55880
Iowa,1992,15.8,48014
Kansas,1992,15.2,52370
Kentucky,1992,17.3,49584
Louisiana,1992,17,41595
Maine,1992,14.1,48206
Maryland,1992,16.9,61756
Massachusetts,1992,15,61789
Michigan,1992,19.5,69959
Minnesota,1992,17.6,55923
Mississippi,1992,18.2,38831
Missouri,1992,16.2,46811
Montana,1992,15.8,44010
Nebraska,1992,14.6,45822
Nevada,1992,18.7,54371
New Hampshire,1992,15.6,54071
New Jersey,1992,13.6,68014
New Mexico,1992,17.6,42281
New York,1992,15.2,71709
North Carolina,1992,16.7,46716
North Dakota,1992,15.2,40176
Ohio,1992,16.9,55009
Oklahoma,1992,15.5,41302
Oregon,1992,19.2,57177
Pennsylvania,1992,17,65679
Rhode Island,1992,14.3,60449
South Carolina,1992,17.2,46571
South Dakota,1992,15.3,38706
Tennessee,1992,19.6,46150
Texas,1992,16.1,47704
Utah,1992,24.2,43407
Vermont,1992,13.1,55495
Virginia,1992,15.1,51404
Washington,1992,20.2,56985
West Virginia,1992,15.2,48287
Wisconsin,1992,15.5,57251
Wyoming,1992,17.2,47935
Alabama,1993,17.1,44588
Alaska,1993,17.5,73802
Arizona,1993,18.9,49396
Arkansas,1993,17.1,43646
California,1993,24,62543
Colorado,1993,18.6,52543
Connecticut,1993,14.4,77308
Delaware,1993,16.5,58202
District of Columbia,1993,13.3,66083
Florida,1993,18.4,49620
Georgia,1993,16.7,47706
Hawaii,1993,17.8,56796
Idaho,1993,19.7,43114
Illinois,1993,17.1,61181
Indiana,1993,17.5,55473
Iowa,1993,15.8,47781
Kansas,1993,15.1,52680
Kentucky,1993,17.6,49124
Louisiana,1993,17.1,40534
Maine,1993,14.1,48147
Maryland,1993,17.5,61284
Massachusetts,1993,14.9,60616
Michigan,1993,19.9,69676
Minnesota,1993,17.3,55050
Mississippi,1993,17.8,39071
Missouri,1993,15.8,47096
Montana,1993,16.4,43804
Nebraska,1993,14.5,45923
Nevada,1993,18.7,52743
New Hampshire,1993,15.5,53001
New Jersey,1993,13.6,69423
New Mexico,1993,17.5,42254
New York,1993,15.2,71099
North Carolina,1993,16.3,46178
North Dakota,1993,15.4,39619
Ohio,1993,16.8,55412
Oklahoma,1993,15.5,41954
Oregon,1993,19.5,58581
Pennsylvania,1993,17.2,65878
Rhode Island,1993,14.8,60985
South Carolina,1993,16.7,45926
South Dakota,1993,14.9,39236
Tennessee,1993,18.8,47398
Texas,1993,16,47422
Utah,1993,24.7,43037
Vermont,1993,14,53616
Virginia,1993,14.8,51274
Washington,1993,20.1,55707
West Virginia,1993,14.9,47453
Wisconsin,1993,16,55904
Wyoming,1993,15.4,48079
Alabama,1994,17.2,47029
Alaska,1994,17.6,72408
Arizona,1994,19.3,48586
Arkansas,1994,17.1,43692
California,1994,24,62030
Colorado,1994,18.4,52204
Connecticut,1994,14.4,75571
Delaware,1994,16.6,59007
District of Columbia,1994,13.2,65989
Florida,1994,19.1,49210
Georgia,1994,16.3,48761
Hawaii,1994,17.9,58164
Idaho,1994,19.1,44974
Illinois,1994,17.3,59543
Indiana,1994,17.5,55547
Iowa,1994,15.8,47583
Kansas,1994,15.1,52326
Kentucky,1994,17,48710
Louisiana,1994,16.8,39957
Maine,1994,13.8,48279
Maryland,1994,17,61400
Massachusetts,1994,14.8,61603
Michigan,1994,20.1,63264
Minnesota,1994,17.5,54283
Mississippi,1994,17.5,40497
Missouri,1994,15.5,47097
Montana,1994,16.3,43467
Nebraska,1994,14.5,46694
Nevada,1994,18.7,52604
New Hampshire,1994,15.6,52429
New Jersey,1994,13.8,69594
New Mexico,1994,17.2,43026
New York,1994,15.2,71897
North Carolina,1994,16.2,46499
North Dakota,1994,15.3,39755
Ohio,1994,16.6,55573
Oklahoma,1994,15.5,42541
Oregon,1994,19.9,58220
Pennsylvania,1994,17.1,67212
Rhode Island,1994,14.7,61503
South Carolina,1994,16.4,45723
South Dakota,1994,14.4,39252
Tennessee,1994,18.6,49042
Texas,1994,15.7,47148
Utah,1994,24.3,43915
Vermont,1994,13.8,53465
Virginia,1994,14.6,51322
Washington,1994,20.2,54590
West Virginia,1994,14.8,48237
Wisconsin,1994,15.9,56998
Wyoming,1994,14.9,47242
Alabama,1995,16.9,46032
Alaska,1995,17.3,72944
Arizona,1995,19.6,47753
Arkansas,1995,17.1,43105
California,1995,24,62123
Colorado,1995,18.5,51987
Connecticut,1995,14.4,73876
Delaware,1995,16.8,59586
District of Columbia,1995,15,64241
Florida,1995,18.9,48997
Georgia,1995,16.5,49985
Hawaii,1995,17.8,52638
Idaho,1995,19,45412
Illinois,1995,17.1,60153
Indiana,1995,17.5,55384
Iowa,1995,15.5,47589
Kansas,1995,15.1,51649
Kentucky,1995,16.9,48629
Louisiana,1995,17,39398
Maine,1995,13.9,48319
Maryland,1995,16.8,60508
Massachusetts,1995,14.6,62130
Michigan,1995,19.7,65853
Minnesota,1995,17.8,54299
Mississippi,1995,17.5,40709
Missouri,1995,15.4,49013
Montana,1995,16.4,43167
Nebraska,1995,14.5,46301
Nevada,1995,19.1,53168
New Hampshire,1995,15.7,52616
New Jersey,1995,13.8,70430
New Mexico,1995,17,42740
New York,1995,15.5,70732
North Carolina,1995,16.2,44706
North Dakota,1995,15.9,39646
Ohio,1995,17.1,55620
Oklahoma,1995,15.7,41756
Oregon,1995,19.8,58370
Pennsylvania,1995,17,67751
Rhode Island,1995,14.3,61978
South Carolina,1995,16.2,46486
South Dakota,1995,15,38730
Tennessee,1995,16.7,48697
Texas,1995,15.6,47042
Utah,1995,23.8,44966
Vermont,1995,13.8,53356
Virginia,1995,14.4,51146
Washington,1995,20.4,55646
West Virginia,1995,14.6,47270
Wisconsin,1995,15.8,56130
Wyoming,1995,14.8,46411
Alabama,1996,16.6,46522
Alaska,1996,17.5,72389
Arizona,1996,19.7,47666
Arkansas,1996,17.1,42843
California,1996,22.9,62136
Colorado,1996,18.5,51704
Connecticut,1996,14.4,72073
Delaware,1996,16.6,59224
District of Columbia,1996,14.9,64335
Florida,1996,18.6,48425
Georgia,1996,16.5,51514
Hawaii,1996,17.7,51228
Idaho,1996,18.8,45477
Illinois,1996,17,61000
Indiana,1996,17.3,55134
Iowa,1996,15.4,47559
Kansas,1996,15.1,51221
Kentucky,1996,16.7,48524
Louisiana,1996,16.8,40516
Maine,1996,13.7,48310
Maryland,1996,17.1,58812
Massachusetts,1996,14.5,62611
Michigan,1996,19.1,63247
Minnesota,1996,17.6,54277
Mississippi,1996,17.2,39620
Missouri,1996,15.2,49084
Montana,1996,16,42807
Nebraska,1996,14.5,45405
Nevada,1996,19.1,53369
New Hampshire,1996,15.6,52693
New Jersey,1996,14,70533
New Mexico,1996,16.7,42471
New York,1996,15.4,70835
North Carolina,1996,16.1,44629
North Dakota,1996,15.2,39607
Ohio,1996,17,55500
Oklahoma,1996,15.7,41835
Oregon,1996,20.1,58457
Pennsylvania,1996,17,67789
Rhode Island,1996,14.2,61486
South Carolina,1996,15.7,46679
South Dakota,1996,14.9,38253
Tennessee,1996,16.5,48294
Texas,1996,15.5,46657
Utah,1996,24.4,45380
Vermont,1996,13.7,53169
Virginia,1996,14.7,51221
Washington,1996,20.2,54112
West Virginia,1996,14.6,47393
Wisconsin,1996,16.1,55670
Wyoming,1996,14.7,45338
Alabama,1997,16.3,45649
Alaska,1997,17.3,66212
Arizona,1997,19.8,47865
Arkansas,1997,17,43944
California,1997,21.6,62016
Colorado,1997,18.2,51800
Connecticut,1997,14.2,70564
Delaware,1997,16.3,59031
District of Columbia,1997,17.6,64471
Florida,1997,18.4,47954
Georgia,1997,16,52257
Hawaii,1997,17.8,53381
Idaho,1997,18.5,45671
Illinois,1997,16.8,60771
Indiana,1997,17.2,55291
Iowa,1997,15.3,47410
Kansas,1997,14.9,51203
Kentucky,1997,16.5,48146
Louisiana,1997,16,41854
Maine,1997,13.5,47778
Maryland,1997,17.2,58058
Massachusetts,1997,14.1,61105
Michigan,1997,18.8,66071
Minnesota,1997,16.4,52762
Mississippi,1997,17.1,39910
Missouri,1997,15,47218
Montana,1997,15.9,42592
Nebraska,1997,14.6,45440
Nevada,1997,18.5,51597
New Hampshire,1997,15.6,50997
New Jersey,1997,13.9,70163
New Mexico,1997,16.9,41941
New York,1997,15,67757
North Carolina,1997,15.9,46081
North Dakota,1997,14.7,39267
Ohio,1997,16.7,54227
Oklahoma,1997,15.5,42692
Oregon,1997,20.1,58699
Pennsylvania,1997,16.8,66129
Rhode Island,1997,14.5,61620
South Carolina,1997,15.6,46872
South Dakota,1997,15.3,38773
Tennessee,1997,16.5,49157
Texas,1997,15.3,47478
Utah,1997,22.9,45059
Vermont,1997,13.4,50491
Virginia,1997,14.3,50985
Washington,1997,20.2,53921
West Virginia,1997,14.4,46454
Wisconsin,1997,15.8,54744
Wyoming,1997,14.5,44542
Alabama,1998,15.7,48706
Alaska,1998,16.7,63697
Arizona,1998,20,47625
Arkansas,1998,16.2,43987
California,1998,21,61732
Colorado,1998,17.7,51704
Connecticut,1998,14,70140
Delaware,1998,16,58691
District of Columbia,1998,13.9,64111
Florida,1998,18.4,47857
Georgia,1998,15.8,53947
Hawaii,1998,17.7,54902
Idaho,1998,18.2,46317
Illinois,1998,16.5,61962
Indiana,1998,17,55971
Iowa,1998,15.2,47491
Kansas,1998,14.8,50861
Kentucky,1998,16.1,48306
Louisiana,1998,15.6,44205
Maine,1998,13.3,47463
Maryland,1998,16.9,57824
Massachusetts,1998,13.8,61290
Michigan,1998,18.5,65549
Minnesota,1998,15.7,53652
Mississippi,1998,16.1,40153
Missouri,1998,14.6,47245
Montana,1998,15.7,42636
Nebraska,1998,14.3,44708
Nevada,1998,18.9,52870
New Hampshire,1998,15.4,50861
New Jersey,1998,13.8,69609
New Mexico,1998,16.5,44053
New York,1998,14.6,67221
North Carolina,1998,15.8,49084
North Dakota,1998,14.4,39400
Ohio,1998,16.2,55159
Oklahoma,1998,15.4,42354
Oregon,1998,20,58241
Pennsylvania,1998,16.4,65889
Rhode Island,1998,13.9,62072
South Carolina,1998,15.2,46919
South Dakota,1998,14.3,38823
Tennessee,1998,15.3,49630
Texas,1998,15.2,47646
Utah,1998,22.4,44803
Vermont,1998,12.8,50038
Virginia,1998,14.2,50956
Washington,1998,20.1,52611
West Virginia,1998,14.2,46563
Wisconsin,1998,14.4,55283
Wyoming,1998,14.2,45551
Alabama,1999,15.2,49061
Alaska,1999,17.1,62129
Arizona,1999,19.4,49346
Arkansas,1999,14.4,44644
California,1999,21,63758
Colorado,1999,17.4,51032
Connecticut,1999,13.9,69241
Delaware,1999,15.4,59419
District of Columbia,1999,16,62950
Florida,1999,18.3,49105
Georgia,1999,15.7,54856
Hawaii,1999,17.1,54261
Idaho,1999,18,47534
Illinois,1999,16.2,62161
Indiana,1999,16.8,55962
Iowa,1999,14.9,47709
Kansas,1999,14.3,46777
Kentucky,1999,15.4,48648
Louisiana,1999,15.1,44274
Maine,1999,12.8,47552
Maryland,1999,16.6,58901
Massachusetts,1999,12.5,62287
Michigan,1999,18,65582
Minnesota,1999,15.2,53224
Mississippi,1999,16.3,42599
Missouri,1999,14.3,47680
Montana,1999,15.2,42952
Nebraska,1999,13.9,44445
Nevada,1999,18.7,52673
New Hampshire,1999,14.7,50458
New Jersey,1999,13.4,69555
New Mexico,1999,16.4,43531
New York,1999,14.3,68224
North Carolina,1999,15.6,52691
North Dakota,1999,13.8,39933
Ohio,1999,15.8,55409
Oklahoma,1999,15.1,41852
Oregon,1999,19.6,56612
Pennsylvania,1999,15.9,64615
Rhode Island,1999,14.2,62904
South Carolina,1999,14.7,48248
South Dakota,1999,14,38874
Tennessee,1999,15.1,48578
Texas,1999,14.9,50235
Utah,1999,22,46730
Vermont,1999,12.3,50490
Virginia,1999,13.3,51809
Washington,1999,19.9,54883
West Virginia,1999,13.8,46814
Wisconsin,1999,14.4,55030
Wyoming,1999,13.3,45635
Alabama,2000,15.4,48615
Alaska,2000,16.9,63111
Arizona,2000,19.8,48743
Arkansas,2000,14.1,45430
California,2000,20.6,68826
Colorado,2000,17.3,51388
Connecticut,2000,13.7,69105
Delaware,2000,15.4,61700
District of Columbia,2000,13.9,63873
Florida,2000,18.4,50137
Georgia,2000,15.9,55365
Hawaii,2000,16.9,52527
Idaho,2000,17.9,49114
Illinois,2000,16.1,62750
Indiana,2000,16.7,56801
Iowa,2000,14.3,47841
Kansas,2000,14.4,47083
Kentucky,2000,16.8,47985
Louisiana,2000,14.9,44085
Maine,2000,12.5,47702
Maryland,2000,16.3,60279
Massachusetts,2000,14.5,63801
Michigan,2000,17.7,67300
Minnesota,2000,16,55359
Mississippi,2000,16.1,41906
Missouri,2000,14.1,48150
Montana,2000,14.9,43605
Nebraska,2000,13.6,44819
Nevada,2000,18.6,53039
New Hampshire,2000,14.5,50230
New Jersey,2000,13.3,68548
New Mexico,2000,15.2,44308
New York,2000,13.9,67540
North Carolina,2000,15.5,54399
North Dakota,2000,13.4,40512
Ohio,2000,15.5,56083
Oklahoma,2000,15.1,45244
Oregon,2000,19.4,59001
Pennsylvania,2000,15.5,64954
Rhode Island,2000,14.8,63572
South Carolina,2000,14.9,49754
South Dakota,2000,13.7,39691
Tennessee,2000,15.9,49089
Texas,2000,14.8,50309
Utah,2000,21.9,47791
Vermont,2000,12.1,50167
Virginia,2000,13.2,52688
Washington,2000,19.7,55261
West Virginia,2000,13.7,47066
Wisconsin,2000,14.6,55241
Wyoming,2000,13.3,45479
Alabama,2001,15.8,47024
Alaska,2001,16.7,62479
Arizona,2001,20,50538
Arkansas,2001,13.6,46731
California,2001,20.5,68712
Colorado,2001,16.8,51405
Connecticut,2001,13.7,67704
Delaware,2001,15.3,61145
District of Columbia,2001,13.8,59484
Florida,2001,18.6,49655
Georgia,2001,15.9,55721
Hawaii,2001,16.8,53878
Idaho,2001,17.8,50055
Illinois,2001,16,62501
Indiana,2001,16.7,55876
Iowa,2001,13.9,48334
Kansas,2001,14.2,46897
Kentucky,2001,16.2,47981
Louisiana,2001,14.6,45929
Maine,2001,12.3,47158
Maryland,2001,16,61004
Massachusetts,2001,14.1,63585
Michigan,2001,17.5,66598
Minnesota,2001,16,53346
Mississippi,2001,15.8,42095
Missouri,2001,13.9,48038
Montana,2001,14.6,43465
Nebraska,2001,13.5,45813
Nevada,2001,18.5,51538
New Hampshire,2001,14.1,50464
New Jersey,2001,12.9,67251
New Mexico,2001,14.7,46071
New York,2001,13.7,65744
North Carolina,2001,15.4,53960
North Dakota,2001,13.2,40777
Ohio,2001,15,55666
Oklahoma,2001,14.9,43927
Oregon,2001,19.5,58260
Pennsylvania,2001,15.4,63972
Rhode Island,2001,14.2,62909
South Carolina,2001,14.5,50475
South Dakota,2001,13.6,39566
Tennessee,2001,15.8,48694
Texas,2001,14.7,49601
Utah,2001,21.8,47302
Vermont,2001,11.8,49611
Virginia,2001,13,52760
Washington,2001,19.2,54951
West Virginia,2001,14,46464
Wisconsin,2001,13.9,53394
Wyoming,2001,13.2,47837
Alabama,2002,15.7,46833
Alaska,2002,16.6,60840
Arizona,2002,19.9,50076
Arkansas,2002,14.9,46229
California,2002,20.6,68920
Colorado,2002,16.6,50542
Connecticut,2002,13.5,66567
Delaware,2002,15.1,62171
District of Columbia,2002,15.2,62160
Florida,2002,18.4,48326
Georgia,2002,15.6,55756
Hawaii,2002,16.8,54447
Idaho,2002,17.9,49162
Illinois,2002,15.9,62805
Indiana,2002,16.7,55222
Iowa,2002,13.9,47660
Kansas,2002,14.4,46682
Kentucky,2002,16.3,47733
Louisiana,2002,14.6,45158
Maine,2002,12.1,46680
Maryland,2002,15.7,60831
Massachusetts,2002,13.2,63728
Michigan,2002,19.9,66211
Minnesota,2002,16,52450
Mississippi,2002,15.6,42313
Missouri,2002,13.6,47544
Montana,2002,14.5,43782
Nebraska,2002,13.6,46405
Nevada,2002,18.4,51179
New Hampshire,2002,13.9,49617
New Jersey,2002,12.8,66327
New Mexico,2002,15.1,44924
New York,2002,13.7,64410
North Carolina,2002,15.2,52748
North Dakota,2002,12.9,40666
Ohio,2002,14.7,55657
Oklahoma,2002,15.4,42680
Oregon,2002,20.4,58287
Pennsylvania,2002,15.4,63430
Rhode Island,2002,14.2,62544
South Carolina,2002,14.9,50547
South Dakota,2002,14,39694
Tennessee,2002,15.8,48585
Texas,2002,14.8,48982
Utah,2002,21.8,47038
Vermont,2002,11.7,50944
Virginia,2002,11.8,52841
Washington,2002,19.2,55041
West Virginia,2002,14,47154
Wisconsin,2002,14.6,52497
Wyoming,2002,13,46380
Alabama,2003,12.6,46434
Alaska,2003,17.2,62683
Arizona,2003,21.3,50697
Arkansas,2003,14.7,47632
California,2003,21.1,68387
Colorado,2003,16.9,52485
Connecticut,2003,13.6,69469
Delaware,2003,15.2,59811
District of Columbia,2003,13.8,69072
Florida,2003,17.9,49195
Georgia,2003,15.7,55719
Hawaii,2003,16.5,55102
Idaho,2003,17.9,49772
Illinois,2003,16.5,65705
Indiana,2003,16.9,55480
Iowa,2003,13.8,47775
Kansas,2003,14.4,46795
Kentucky,2003,16.1,48754
Louisiana,2003,14.4,45941
Maine,2003,11.5,48299
Maryland,2003,15.7,60896
Massachusetts,2003,13.6,64434
Michigan,2003,18.1,65925
Minnesota,2003,16.3,54976
Mississippi,2003,15.1,43234
Missouri,2003,13.9,46048
Montana,2003,14.4,45052
Nebraska,2003,13.6,46467
Nevada,2003,19,51195
New Hampshire,2003,13.7,51722
New Jersey,2003,12.7,67355
New Mexico,2003,15,46122
New York,2003,13.3,66857
North Carolina,2003,15.1,52354
North Dakota,2003,12.7,42940
Ohio,2003,15.2,57529
Oklahoma,2003,16,42480
Oregon,2003,20.6,59573
Pennsylvania,2003,15.2,62803
Rhode Island,2003,13.4,63319
South Carolina,2003,15.3,49871
South Dakota,2003,13.6,40268
Tennessee,2003,15.7,48849
Texas,2003,15,49040
Utah,2003,22.4,47223
Vermont,2003,11.3,50895
Virginia,2003,13.2,52892
Washington,2003,19.3,55047
West Virginia,2003,14,46599
Wisconsin,2003,15.1,51955
Wyoming,2003,13.3,47897
Alabama,2004,14.2,45309
Alaska,2004,17.1,62202
Arizona,2004,21.3,50908
Arkansas,2004,14.8,48048
California,2004,21.1,68671
Colorado,2004,17,52147
Connecticut,2004,14.9,68507
Delaware,2004,15.2,60032
District of Columbia,2004,14.2,69360
Florida,2004,17,49348
Georgia,2004,14.8,55204
Hawaii,2004,16.4,54757
Idaho,2004,17.9,49979
Illinois,2004,16,65759
Indiana,2004,16.9,55272
Iowa,2004,13.8,46612
Kansas,2004,14.2,46684
Kentucky,2004,16.3,48080
Louisiana,2004,14.7,46301
Maine,2004,11.9,46998
Maryland,2004,15.7,62092
Massachusetts,2004,13.3,64878
Michigan,2004,17.4,67600
Minnesota,2004,16.1,55655
Mississippi,2004,15.8,43415
Missouri,2004,13.8,46354
Montana,2004,14.3,45663
Nebraska,2004,13.5,46816
Nevada,2004,19.1,51488
New Hampshire,2004,13.5,52137
New Jersey,2004,12.1,67255
New Mexico,2004,15,46738
New York,2004,13,66683
North Carolina,2004,15,51434
North Dakota,2004,12.5,43540
Ohio,2004,15.6,57774
Oklahoma,2004,15.6,44944
Oregon,2004,20.1,57345
Pennsylvania,2004,15.1,63192
Rhode Island,2004,13.3,63447
South Carolina,2004,15,50058
South Dakota,2004,13.5,40389
Tennessee,2004,15.7,49924
Texas,2004,15,48661
Utah,2004,22.6,46816
Vermont,2004,11.3,52842
Virginia,2004,12.9,50745
Washington,2004,19.2,54246
West Virginia,2004,14,45515
Wisconsin,2004,14.3,52562
Wyoming,2004,12.7,48051
Alabama,2005,12.8,46359
Alaska,2005,16.8,61532
Arizona,2005,21.3,51328
Arkansas,2005,14.4,48365
California,2005,20.8,68187
Colorado,2005,17,52413
Connecticut,2005,14.5,68364
Delaware,2005,15.1,62349
District of Columbia,2005,14,70313
Florida,2005,16.8,49754
Georgia,2005,14.7,55497
Hawaii,2005,16.3,59287
Idaho,2005,18,49855
Illinois,2005,15.8,66434
Indiana,2005,17.1,54296
Iowa,2005,13.7,46968
Kansas,2005,13.9,47533
Kentucky,2005,16,48146
Louisiana,2005,14.7,46251
Maine,2005,11.7,46807
Maryland,2005,15.2,62604
Massachusetts,2005,13.2,65018
Michigan,2005,17.8,67196
Minnesota,2005,16.4,55714
Mississippi,2005,15.7,43575
Missouri,2005,13.7,45870
Montana,2005,14,45767
Nebraska,2005,13.4,47139
Nevada,2005,19,51045
New Hampshire,2005,13.2,52007
New Jersey,2005,12.4,66305
New Mexico,2005,14.8,47841
New York,2005,12.9,65900
North Carolina,2005,14.8,50466
North Dakota,2005,12.3,43401
Ohio,2005,15.6,57811
Oklahoma,2005,15.2,44549
Oregon,2005,19.5,56279
Pennsylvania,2005,15,62077
Rhode Island,2005,10.8,62885
South Carolina,2005,14.6,49685
South Dakota,2005,13.4,39881
Tennessee,2005,16,48875
Texas,2005,15,47964
Utah,2005,22.1,46323
Vermont,2005,10.9,53569
Virginia,2005,11.7,50353
Washington,2005,19.3,53229
