State,Year,Students Per Teacher,Median Teacher Salary
Maryland,1974,20.9,55369
Massachusetts,1974,18,55842
Michigan,1974,23.6,60789
Minnesota,1974,20.3,51703
Mississippi,1974,21.8,35227
Missouri,1974,21.1,43809
Montana,1974,19.1,43827
Nebraska,1974,18.4,40625
Nevada,1974,24.4,53619
New Hampshire,1974,18.4,43844
New Jersey,1974,18.2,55229
New Mexico,1974,22.3,43875
New York,1974,18.2,64464
North Carolina,1974,23,48195
North Dakota,1974,17.6,40516
Ohio,1974,22.3,47054
Oklahoma,1974,20.6,39213
Oregon,1974,21.4,47401
Pennsylvania,1974,19.7,50948
Rhode Island,1974,19.2,54251
South Carolina,1974,22.6,41507
South Dakota,1974,18.9,38187
Tennessee,1974,22.2,43485
Texas,1974,20.8,42923
Utah,1974,24.6,44081
Vermont,1974,16.9,42445
Virginia,1974,20.5,46796
Washington,1974,23.4,54444
West Virginia,1974,21.3,39933
Wisconsin,1974,20.1,50137
Wyoming,1974,17.4,45243
Alabama,1975,20.7,43006
Alaska,1975,19.5,79074
Arizona,1975,21.5,48228
Arkansas,1975,21.5,39296
California,1975,21.6,62598
Colorado,1975,20,49272
Connecticut,1975,18.3,52495
Delaware,1975,20.1,51352
District of Columbia,1975,19.6,64220
Florida,1975,21.3,43010
Georgia,1975,23,44370
Hawaii,1975,22.4,62287
Idaho,1975,21.8,41822
Illinois,1975,20,57713
Indiana,1975,22.1,48989
Iowa,1975,18.5,49686
Kansas,1975,18.1,44493
Kentucky,1975,21.6,40070
Louisiana,1975,20.6,43645
Maine,1975,20.4,43493
Maryland,1975,20.8,56115
Massachusetts,1975,18.7,55366
Michigan,1975,23.1,59801
Minnesota,1975,19.7,52118
Mississippi,1975,21.5,37989
Missouri,1975,19.6,44239
Montana,1975,19,45230
Nebraska,1975,17.8,42629
Nevada,1975,24.3,52290
New Hampshire,1975,19.9,41978
New Jersey,1975,18.1,55722
New Mexico,1975,21.3,44255
New York,1975,18.9,66817
North Carolina,1975,22.6,46114
North Dakota,1975,17.3,42244
Ohio,1975,21.7,47331
Oklahoma,1975,20,39734
Oregon,1975,20.1,50304
Pennsylvania,1975,19.3,51660
Rhode Island,1975,19.2,53245
South Carolina,1975,21.9,40610
South Dakota,1975,18.7,38530
Tennessee,1975,22,42293
Texas,1975,19.6,46352
Utah,1975,24.7,45787
Vermont,1975,16.3,41368
Virginia,1975,18.9,46286
Washington,1975,23.3,56054
West Virginia,1975,20.6,42740
Wisconsin,1975,18.6,50583
Wyoming,1975,16.9,49370
Alabama,1976,20.2,40629
Alaska,1976,20.4,80801
Arizona,1976,21.4,49962
Arkansas,1976,21.1,37664
California,1976,21.2,63139
Colorado,1976,19.3,51089
Connecticut,1976,17.5,52857
Delaware,1976,19.6,50895
District of Columbia,1976,20.8,66037
Florida,1976,20.9,47002
Georgia,1976,23.6,43225
Hawaii,1976,22.1,64896
Idaho,1976,21.6,42459
Illinois,1976,20.3,56719
Indiana,1976,21.9,49440
Iowa,1976,18.2,48500
Kansas,1976,17.9,43651
Kentucky,1976,21.5,42277
Louisiana,1976,20.8,42095
Maine,1976,18.8,43016
Maryland,1976,20.1,56870
Massachusetts,1976,18.6,55380
Michigan,1976,23.1,60078
Minnesota,1976,19.2,54033
Mississippi,1976,21.1,36372
Missouri,1976,19.6,44305
Montana,1976,17.8,45431
Nebraska,1976,17.5,43233
Nevada,1976,23.7,52133
New Hampshire,1976,18.2,40613
New Jersey,1976,17.8,56181
New Mexico,1976,22.1,45872
New York,1976,19.4,66362
North Carolina,1976,22.5,46019
North Dakota,1976,17.1,41341
Ohio,1976,21.3,48415
Oklahoma,1976,19.7,40737
Oregon,1976,19.8,50477
Pennsylvania,1976,19.2,51975
Rhode Island,1976,18.8,54598
South Carolina,1976,20.1,40632
South Dakota,1976,18.1,39406
Tennessee,1976,21,43183
Texas,1976,19.8,44750
Utah,1976,24.6,47087
Vermont,1976,16.5,41809
Virginia,1976,18.5,46619
Washington,1976,23.2,57741
West Virginia,1976,20.1,44224
Wisconsin,1976,19.1,51243
Wyoming,1976,18.2,50624
Alabama,1977,20.1,42304
Alaska,1977,18.4,81740
Arizona,1977,21.2,49368
Arkansas,1977,20.4,37706
California,1977,20.8,62187
Colorado,1977,19.3,50833
Connecticut,1977,16.9,51852
Delaware,1977,19.6,49828
District of Columbia,1977,19.9,66125
Florida,1977,21.8,46344
Georgia,1977,20.6,43918
Hawaii,1977,21.8,64265
Idaho,1977,21.1,42522
Illinois,1977,20.3,57752
Indiana,1977,21.7,48621
Iowa,1977,17.7,48374
Kansas,1977,17.4,43635
Kentucky,1977,21.2,42511
Louisiana,1977,20.6,45249
Maine,1977,18.3,42569
Maryland,1977,19.6,57331
Massachusetts,1977,16.9,55119
Michigan,1977,22.5,59616
Minnesota,1977,18.7,51373
Mississippi,1977,20.2,37829
Missouri,1977,18.8,44074
Montana,1977,17.5,45938
Nebraska,1977,17.1,42982
Nevada,1977,22.4,51812
New Hampshire,1977,18.2,40252
New Jersey,1977,17.6,55732
New Mexico,1977,20.4,46561
New York,1977,18.4,64660
North Carolina,1977,22,46307
North Dakota,1977,16.9,40970
Ohio,1977,20.7,48251
Oklahoma,1977,19.1,41771
Oregon,1977,19.5,50180
Pennsylvania,1977,18.8,52432
Rhode Island,1977,18.3,57966
South Carolina,1977,20.9,41412
South Dakota,1977,17.8,39345
Tennessee,1977,21.9,43221
Texas,1977,19.3,45466
Utah,1977,24.7,50369
Vermont,1977,16.7,40995
Virginia,1977,18,45488
Washington,1977,23,58434
West Virginia,1977,19.4,43736
Wisconsin,1977,17.3,50931
