State,Year,Population,Expenditures for K12 (Inflation Adjusted: 2012 dollars),Students,Students per Capita,Students per Capita Index (US average = 1.0),Expenditures per Student (Inflation adjusted to 2012 dollars),"Expenditures per student, 13 year cumulative (infl adj)",Teachers,Expenditures per Teacher (adjusted for Inflation: 2012 dollars),Teacher Salary (inflation adjusted: 2012 dollars),Teacher Salaries as Percent of Current Expense of Education,Teacher Salary Index,Students Per Teacher,Income per Capita (2013 inflation),Effort: Education Spending vs State Income,Effort Per Student (Index: 1970 effort = 100),Teachers per student,"Teachers per Student, 13-year cumulative",High School Graduation Rate (from 1992 onward),NAEP Math Grade 4,NAEP Math Grade 8,NAEP Reading Grade 4,NAEP Reading Grade 8,"NAEP average of percent proficient, grades 4 and 8 Math and Reading","POVERTY: Children between 6-17 years-old, Number","POVERTY: Children between 6-17 years-old, Percent",Teacher count (BLS data),BLS teacher count vs. NCES
Vermont,1979,505704,634542249,98338,0.241,1.06,6453,60000,6628,95737,36523,0.38,0.78,14.8,25229,4.84,1.25,0.067,0.6,-,-,-,-,-,#DIV/0!,12995,0.12,-,-
Virginia,1979,5324432,6289958418,1031403,0.24,1.06,6098,60000,56868,110606,41134,0.37,0.88,18.1,30188,3.95,1.03,0.055,0.6,-,-,-,-,-,#DIV/0!,141499,0.14,-,-
Washington,1979,4012752,6103628430,764879,0.236,1.03,7980,60000,35498,171943,55060,0.32,1.18,21.5,32299,4.62,1.23,0.046,0.6,-,-,-,-,-,#DIV/0!,100644,0.12,-,-
West Virginia,1979,1939162,2267858965,387966,0.25,1.1,5846,60000,21387,106039,40110,0.38,0.86,18.1,23407,4.74,1.19,0.055,0.6,-,-,-,-,-,#DIV/0!,67488,0.19,-,-
Wisconsin,1979,4665780,6380233370,857855,0.225,0.99,7437,60000,48264,132194,46827,0.35,1,17.8,29320,4.45,1.24,0.056,0.6,-,-,-,-,-,#DIV/0!,110697,0.1,-,-
Wyoming,1979,451833,755746835,95422,0.268,1.18,7920,60000,5208,145113,46845,0.32,1,18.3,33197,4.76,1.11,0.055,0.6,-,-,-,-,-,#DIV/0!,6930,0.06,-,-
Alabama,1980,3900516,4199932313,758721,0.195,0.89,5536,60000,36172,116110,40629,0.35,0.88,21,22362,4.56,1.47,0.048,0.6,-,-,-,-,-,#DIV/0!,240060,0.3,-,-
Alaska,1980,405322,1436121039,86514,0.213,0.97,16600,60000,5225,274856,76114,0.28,1.65,16.6,43281,7.85,2.3,0.06,0.6,-,-,-,-,-,#DIV/0!,9718,0.12,-,-
Arizona,1980,2737702,3241926395,513790,0.231,1.05,6310,60000,25713,126081,44987,0.36,0.97,20,27221,4.14,1.12,0.05,0.6,-,-,-,-,-,#DIV/0!,63403,0.12,-,-
Arkansas,1980,2288763,2138631580,447700,0.243,1.11,4777,60000,24078,88821,34801,0.39,0.75,18.6,21448,4.12,1.06,0.054,0.6,-,-,-,-,-,#DIV/0!,124651,0.27,-,-
California,1980,23801448,29956295623,4076421,0.207,0.94,7349,60000,193846,154537,54780,0.35,1.18,21,33716,3.5,1.06,0.048,0.6,-,-,-,-,-,#DIV/0!,526187,0.13,-,-
Colorado,1980,2908808,4129827774,546033,0.231,1.05,7563,60000,29840,138399,46497,0.34,1.01,18.3,30778,4.4,1.19,0.055,0.6,-,-,-,-,-,#DIV/0!,48303,0.09,-,-
Connecticut,1980,3113167,4343867596,531459,0.206,0.94,8173,60000,34584,125603,45632,0.36,0.99,15.4,34925,3.76,1.14,0.065,0.6,-,-,-,-,-,#DIV/0!,49709,0.08,-,-
Delaware,1980,594901,815300645,99403,0.201,0.91,8202,60000,5626,144917,47260,0.33,1.02,17.7,30550,4.23,1.32,0.057,0.6,-,-,-,-,-,#DIV/0!,14139,0.12,-,-
District of Columbia,1980,638295,889812719,100049,0.186,0.85,8894,60000,5238,169876,59995,0.35,1.3,19.1,36990,3.78,1.27,0.052,0.6,-,-,-,-,-,#DIV/0!,27864,0.29,-,-
Florida,1980,9840105,10059120927,1510225,0.181,0.83,6661,60000,73983,135965,40393,0.3,0.87,20.4,28777,3.42,1.18,0.049,0.6,-,-,-,-,-,#DIV/0!,373798,0.22,-,-
Georgia,1980,5486262,5091017248,1068737,0.242,1.1,4764,60000,56514,90084,40496,0.45,0.88,18.9,24176,3.66,0.95,0.053,0.6,-,-,-,-,-,#DIV/0!,201872,0.2,-,-
Hawaii,1980,967719,1190933024,165068,0.206,0.94,7215,60000,7185,165753,55446,0.33,1.2,23,33482,3.58,1.09,0.044,0.6,-,-,-,-,-,#DIV/0!,19127,0.12,-,-
Idaho,1980,947941,1063934496,203247,0.273,1.24,5235,60000,9938,107057,39615,0.37,0.86,20.5,24800,4.31,0.99,0.049,0.6,-,-,-,-,-,#DIV/0!,22681,0.11,-,-
Illinois,1980,11434529,14389847313,1983463,0.21,0.96,7255,60000,108064,133160,50933,0.38,1.1,18.4,30971,3.8,1.13,0.054,0.6,-,-,-,-,-,#DIV/0!,425573,0.19,-,-
Indiana,1980,5490969,5722542949,1055589,0.238,1.08,5421,60000,53099,107771,45126,0.42,0.98,19.9,26347,3.7,0.97,0.05,0.6,-,-,-,-,-,#DIV/0!,138476,0.12,-,-
Iowa,1980,2913869,4032213822,533857,0.224,1.02,7553,60000,32745,123140,44470,0.36,0.96,16.3,27156,4.79,1.34,0.061,0.6,-,-,-,-,-,#DIV/0!,30123,0.05,-,-
Kansas,1980,2369045,2888958757,415291,0.213,0.97,6956,60000,26366,109571,39984,0.36,0.86,15.8,28463,4.07,1.2,0.063,0.6,-,-,-,-,-,#DIV/0!,37476,0.09,-,-
Kentucky,1980,3664061,3305567351,669798,0.224,1.02,4935,60000,32892,100498,41295,0.41,0.89,20.4,22964,3.69,1.03,0.049,0.6,-,-,-,-,-,#DIV/0!,108378,0.15,-,-
Louisiana,1980,4222937,5329114617,777560,0.226,1.03,6854,60000,43930,121309,41977,0.35,0.91,17.7,24811,4.77,1.32,0.056,0.6,-,-,-,-,-,#DIV/0!,213975,0.25,-,-
Maine,1980,1126916,1209977076,222497,0.246,1.12,5438,60000,11775,102758,36691,0.36,0.79,18.9,24039,4.27,1.09,0.053,0.6,-,-,-,-,-,#DIV/0!,28878,0.14,-,-
Maryland,1980,4227585,5840011915,750665,0.216,0.98,7780,60000,40863,142917,49811,0.35,1.08,18.4,32460,4.1,1.19,0.054,0.6,-,-,-,-,-,#DIV/0!,48260,0.06,-,-
Massachusetts,1980,5746059,8425453656,1021885,0.216,0.99,8245,60000,64987,129648,49287,0.38,1.07,15.7,30235,4.6,1.33,0.064,0.6,-,-,-,-,-,#DIV/0!,142689,0.13,-,-
Michigan,1980,9255464,15665289257,1797052,0.241,1.1,8717,60000,84377,185658,57103,0.31,1.23,21.3,28756,5.46,1.42,0.047,0.6,-,-,-,-,-,#DIV/0!,217139,0.11,-,-
Minnesota,1980,4085057,5728958295,754318,0.226,1.03,7595,60000,44142,129785,46610,0.36,1.01,17.1,28857,4.55,1.26,0.059,0.6,-,-,-,-,-,#DIV/0!,62943,0.08,-,-
Mississippi,1980,2525305,2161193821,477059,0.233,1.06,4530,60000,25933,83338,34130,0.41,0.74,18.4,20137,4.05,1.09,0.054,0.6,-,-,-,-,-,#DIV/0!,114217,0.24,-,-
Missouri,1980,4921810,4953979668,844648,0.207,0.94,5865,60000,48878,101354,40433,0.4,0.87,17.3,26471,3.59,1.08,0.058,0.6,-,-,-,-,-,#DIV/0!,122102,0.14,-,-
Montana,1980,788781,1145874866,155193,0.245,1.12,7384,60000,9370,122292,41864,0.34,0.9,16.6,25839,5.33,1.36,0.06,0.6,-,-,-,-,-,#DIV/0!,30351,0.2,-,-
Nebraska,1980,1572358,1896316603,280430,0.217,0.99,6762,60000,16796,112903,39019,0.35,0.84,16.7,26540,4.37,1.26,0.06,0.6,-,-,-,-,-,#DIV/0!,30159,0.1,-,-
Nevada,1980,810229,867494671,149481,0.226,1.03,5803,60000,7129,121685,46408,0.38,1,21,33376,3.04,0.84,0.048,0.6,-,-,-,-,-,#DIV/0!,8451,0.07,-,-
New Hampshire,1980,924209,1026569929,167232,0.221,1.01,6139,60000,8448,121516,35926,0.3,0.78,19.8,28368,3.75,1.06,0.051,0.6,-,-,-,-,-,#DIV/0!,14625,0.09,-,-
New Jersey,1980,7376070,11000491563,1246008,0.203,0.93,8829,60000,76550,143703,47837,0.33,1.03,16.3,33327,4.24,1.3,0.061,0.6,-,-,-,-,-,#DIV/0!,260445,0.18,-,-
New Mexico,1980,1309351,1688891100,271198,0.261,1.19,6228,60000,14089,119873,44080,0.37,0.95,19.2,24219,5.14,1.23,0.052,0.6,-,-,-,-,-,#DIV/0!,65773,0.22,-,-
New York,1980,17567456,27916245724,2871724,0.195,0.89,9721,60000,155320,179734,55915,0.31,1.21,18.5,31086,4.8,1.54,0.054,0.6,-,-,-,-,-,#DIV/0!,605805,0.18,-,-
North Carolina,1980,5899102,6368367516,1129376,0.237,1.08,5639,60000,56222,113272,41586,0.37,0.9,20.1,23444,4.38,1.16,0.05,0.6,-,-,-,-,-,#DIV/0!,218992,0.18,-,-
North Dakota,1980,654380,766335396,116885,0.217,0.99,6556,60000,7375,103910,39017,0.38,0.84,15.8,22807,4.92,1.42,0.063,0.6,-,-,-,-,-,#DIV/0!,19949,0.16,-,-
Ohio,1980,10800646,12510702614,1957381,0.221,1.01,6392,60000,100527,124451,44321,0.36,0.96,19.5,28014,3.83,1.08,0.051,0.6,-,-,-,-,-,#DIV/0!,237141,0.11,-,-
Oklahoma,1980,3040675,3597697731,577807,0.235,1.07,6226,60000,33901,106124,39806,0.38,0.86,17,27083,4.14,1.1,0.059,0.6,-,-,-,-,-,#DIV/0!,71562,0.13,-,-
Oregon,1980,2641249,3896912727,464599,0.213,0.97,8388,60000,22596,172460,47318,0.27,1.02,20.6,28712,4.85,1.42,0.049,0.6,-,-,-,-,-,#DIV/0!,55881,0.13,-,-
Pennsylvania,1980,11868461,14938335283,1909292,0.192,0.87,7824,60000,109928,135892,46906,0.35,1.01,17.4,28338,4.16,1.36,0.058,0.6,-,-,-,-,-,#DIV/0!,266519,0.12,-,-
Rhode Island,1980,948742,1191991195,148956,0.186,0.85,8002,60000,9192,129677,52669,0.41,1.14,16.2,27815,4.32,1.45,0.062,0.6,-,-,-,-,-,#DIV/0!,18382,0.11,-,-
South Carolina,1980,3134684,3033083968,619223,0.246,1.12,4898,60000,32214,94154,37632,0.4,0.81,19.2,22387,4.15,1.05,0.052,0.6,-,-,-,-,-,#DIV/0!,178324,0.28,-,-
South Dakota,1980,690875,730212897,128507,0.229,1.04,5682,60000,7964,91689,35836,0.39,0.77,16.1,23397,4.35,1.19,0.062,0.6,-,-,-,-,-,#DIV/0!,24129,0.17,-,-
Tennessee,1980,4600321,4310877402,853569,0.228,1.04,5050,60000,41162,104730,39638,0.38,0.86,20.7,23345,3.78,1.04,0.048,0.6,-,-,-,-,-,#DIV/0!,171673,0.21,-,-
Texas,1980,14337975,16008763509,2900073,0.254,1.16,5520,60000,159531,100349,41238,0.41,0.89,18.2,28122,3.75,0.93,0.055,0.6,-,-,-,-,-,#DIV/0!,550431,0.2,-,-
Utah,1980,1472627,1771600226,343618,0.304,1.39,5156,60000,14372,123267,44310,0.36,0.96,23.9,23366,4.7,0.97,0.042,0.6,-,-,-,-,-,#DIV/0!,32547,0.11,-,-
Vermont,1980,512514,678015857,95815,0.23,1.05,7076,60000,6476,104697,35501,0.34,0.77,14.8,24648,5.1,1.39,0.068,0.6,-,-,-,-,-,#DIV/0!,13066,0.12,-,-
Virginia,1980,5368333,6166365513,1010371,0.232,1.06,6103,60000,57027,108131,40732,0.38,0.88,17.7,29786,3.77,1.02,0.056,0.6,-,-,-,-,-,#DIV/0!,137782,0.15,-,-
Washington,1980,4154703,5400819977,757639,0.223,1.02,7128,60000,35514,152076,55763,0.37,1.21,21.3,31159,3.99,1.12,0.047,0.6,-,-,-,-,-,#DIV/0!,86860,0.11,-,-
West Virginia,1980,1951295,2275786734,383503,0.245,1.12,5934,60000,21668,105030,39192,0.37,0.85,17.7,22536,4.8,1.23,0.057,0.6,-,-,-,-,-,#DIV/0!,76189,0.22,-,-
Wisconsin,1980,4711843,6137626089,830247,0.214,0.98,7393,60000,48491,126572,46162,0.36,1,17.1,28232,4.28,1.25,0.058,0.6,-,-,-,-,-,#DIV/0!,68378,0.08,-,-
Wyoming,1980,474196,817453162,98305,0.262,1.19,8315,60000,6361,128510,49077,0.38,1.06,15.5,32501,4.9,1.17,0.065,0.6,-,-,-,-,-,#DIV/0!,5140,0.06,-,-
Alabama,1981,3918615,3752445379,743448,0.19,0.9,5047,60000,36000,104235,37679,0.36,0.81,20.7,22402,4.2,1.38,0.048,0.6,-,-,-,-,-,#DIV/0!,224451,0.29,-,-
Alaska,1981,418486,1451652171,90858,0.217,1.03,15977,60000,5665,256249,77047,0.3,1.66,16,43220,7.96,2.3,0.062,0.6,-,-,-,-,-,#DIV/0!,7936,0.11,-,-
Arizona,1981,2810159,3037709943,507199,0.22,1.04,5989,60000,25601,118656,46365,0.39,1,19.8,27466,3.88,1.1,0.05,0.6,-,-,-,-,-,#DIV/0!,82062,0.17,-,-
Arkansas,1981,2293120,1991678249,437121,0.236,1.11,4556,60000,23497,84763,35009,0.41,0.75,18.6,21962,3.87,1.03,0.054,0.6,-,-,-,-,-,#DIV/0!,129918,0.3,-,-
California,1981,24285149,28272896417,4046156,0.2,0.95,6988,60000,175000,161559,54918,0.34,1.18,23.1,33647,3.36,1.05,0.043,0.6,-,-,-,-,-,#DIV/0!,643819,0.15,-,-
Colorado,1981,2977949,3953979982,544174,0.224,1.06,7266,60000,29462,134206,47248,0.35,1.02,18.5,31377,4.17,1.17,0.054,0.6,-,-,-,-,-,#DIV/0!,45325,0.08,-,-
Connecticut,1981,3128922,4068020219,505386,0.193,0.91,8049,60000,33723,120630,45513,0.38,0.98,15,35363,3.58,1.16,0.067,0.6,-,-,-,-,-,#DIV/0!,72485,0.12,-,-
Delaware,1981,595969,725346404,95072,0.19,0.9,7629,60000,5331,136062,46555,0.34,1,17.8,30429,3.9,1.29,0.056,0.6,-,-,-,-,-,#DIV/0!,16218,0.16,-,-
District of Columbia,1981,636873,824787994,94975,0.175,0.83,8684,60000,5132,160715,58562,0.36,1.26,18.5,36086,3.67,1.31,0.054,0.6,-,-,-,-,-,#DIV/0!,31641,0.31,-,-
Florida,1981,10192638,9362023719,1487721,0.171,0.81,6293,60000,74872,125040,40497,0.32,0.87,19.9,29121,3.14,1.15,0.05,0.6,-,-,-,-,-,#DIV/0!,404741,0.23,-,-
Georgia,1981,5568332,5208672970,1056117,0.234,1.11,4932,60000,56217,92653,39491,0.43,0.85,18.8,24429,3.78,1.01,0.053,0.6,-,-,-,-,-,#DIV/0!,206231,0.2,-,-
Hawaii,1981,978197,1121035901,162805,0.2,0.94,6886,60000,7165,156460,54404,0.35,1.17,22.7,32464,3.55,1.11,0.044,0.6,-,-,-,-,-,#DIV/0!,18717,0.1,-,-
Idaho,1981,962185,978575875,204524,0.27,1.28,4785,60000,9798,99875,39583,0.4,0.85,20.9,24426,4.11,0.95,0.048,0.6,-,-,-,-,-,#DIV/0!,31932,0.18,-,-
Illinois,1981,11443256,12990049826,1924084,0.202,0.96,6751,60000,103793,125153,50730,0.41,1.09,18.5,31085,3.54,1.1,0.054,0.6,-,-,-,-,-,#DIV/0!,409208,0.19,-,-
Indiana,1981,5480683,5623836994,1025172,0.23,1.09,5486,60000,51303,109620,44977,0.41,0.97,20,26245,3.78,1.03,0.05,0.6,-,-,-,-,-,#DIV/0!,154471,0.14,-,-
Iowa,1981,2907865,3691383551,516216,0.216,1.02,7151,60000,31244,118147,44094,0.37,0.95,16.5,27908,4.44,1.29,0.061,0.6,-,-,-,-,-,#DIV/0!,70935,0.12,-,-
Kansas,1981,2384915,2752850509,409909,0.208,0.98,6716,60000,26179,105155,40333,0.38,0.87,15.7,29040,3.91,1.18,0.064,0.6,-,-,-,-,-,#DIV/0!,51592,0.12,-,-
Kentucky,1981,3670483,3050708774,658350,0.219,1.03,4634,60000,31666,96340,41728,0.43,0.9,20.8,23116,3.51,1,0.048,0.6,-,-,-,-,-,#DIV/0!,163378,0.21,-,-
Louisiana,1981,4283270,4894874531,782053,0.223,1.06,6259,60000,39967,122473,43273,0.35,0.93,19.6,25567,4.34,1.22,0.051,0.6,-,-,-,-,-,#DIV/0!,258403,0.28,-,-
Maine,1981,1133091,1179066776,216293,0.236,1.12,5451,60000,12000,98256,36455,0.37,0.78,18,23939,4.31,1.14,0.055,0.6,-,-,-,-,-,#DIV/0!,51440,0.25,-,-
Maryland,1981,4261926,5436671740,721841,0.204,0.96,7532,60000,39120,138974,50972,0.37,1.1,18.5,32443,3.92,1.2,0.054,0.6,-,-,-,-,-,#DIV/0!,102332,0.13,-,-
Massachusetts,1981,5768853,7045290338,947037,0.196,0.93,7439,60000,62227,113219,48870,0.43,1.05,15.2,30413,3.95,1.26,0.066,0.6,-,-,-,-,-,#DIV/0!,130722,0.12,-,-
Michigan,1981,9209254,13761435077,1724787,0.23,1.09,7979,60000,78768,174708,58656,0.34,1.26,21.9,28021,5.12,1.39,0.046,0.6,-,-,-,-,-,#DIV/0!,341840,0.17,-,-
Minnesota,1981,4111566,5365686838,733741,0.217,1.03,7313,60000,42836,125261,48044,0.38,1.03,17.1,28799,4.4,1.27,0.058,0.6,-,-,-,-,-,#DIV/0!,66890,0.1,-,-
Mississippi,1981,2539038,1986322688,471615,0.228,1.08,4212,60000,24430,81307,34114,0.42,0.73,19.3,20384,3.79,1.04,0.052,0.6,-,-,-,-,-,#DIV/0!,150672,0.31,-,-
Missouri,1981,4932186,4522077949,818705,0.199,0.94,5523,60000,48135,93946,39612,0.42,0.85,17,26740,3.35,1.05,0.059,0.6,-,-,-,-,-,#DIV/0!,130372,0.15,-,-
Montana,1981,795313,1101756409,153435,0.239,1.13,7181,60000,9310,118341,42887,0.36,0.92,16.5,26375,5.16,1.35,0.061,0.6,-,-,-,-,-,#DIV/0!,19230,0.14,-,-
Nebraska,1981,1578523,1843575380,273340,0.209,0.99,6745,60000,17410,105892,39991,0.38,0.86,15.7,27807,4.19,1.25,0.064,0.6,-,-,-,-,-,#DIV/0!,47268,0.17,-,-
Nevada,1981,847648,891384604,151339,0.217,1.03,5890,60000,7180,124148,48124,0.39,1.03,21.1,32901,3.14,0.9,0.047,0.6,-,-,-,-,-,#DIV/0!,14091,0.09,-,-
New Hampshire,1981,936626,980518320,163827,0.212,1,5985,60000,9729,100783,35946,0.36,0.77,16.8,28745,3.62,1.07,0.059,0.6,-,-,-,-,-,#DIV/0!,14972,0.09,-,-
New Jersey,1981,7407631,10753842257,1199643,0.193,0.91,8964,60000,75231,142944,48052,0.34,1.03,15.9,33578,4.24,1.37,0.063,0.6,-,-,-,-,-,#DIV/0!,197062,0.14,-,-
New Mexico,1981,1332733,1707525159,268091,0.252,1.19,6369,60000,14296,119441,45107,0.38,0.97,18.8,24394,5.23,1.3,0.053,0.6,-,-,-,-,-,#DIV/0!,68265,0.25,-,-
New York,1981,17567700,27037290521,2783017,0.188,0.89,9715,60000,157201,171992,56564,0.33,1.22,17.7,31397,4.76,1.58,0.056,0.6,-,-,-,-,-,#DIV/0!,622024,0.19,-,-
North Carolina,1981,5956813,5775331893,1108960,0.229,1.08,5208,60000,55833,103439,40901,0.4,0.88,19.9,23697,4.02,1.1,0.05,0.6,-,-,-,-,-,#DIV/0!,242471,0.2,-,-
North Dakota,1981,659482,810869334,117708,0.217,1.03,6889,60000,6995,115921,42057,0.36,0.9,16.8,26868,4.53,1.3,0.059,0.6,-,-,-,-,-,#DIV/0!,21358,0.17,-,-
Ohio,1981,10788276,11485282194,1898501,0.214,1.01,6050,60000,96449,119081,44769,0.38,0.96,19.7,27639,3.7,1.08,0.051,0.6,-,-,-,-,-,#DIV/0!,256529,0.12,-,-
Oklahoma,1981,3096093,3851937045,582572,0.232,1.1,6612,60000,33904,113613,39122,0.34,0.84,17.2,28163,4.31,1.16,0.058,0.6,-,-,-,-,-,#DIV/0!,73176,0.15,-,-
Oregon,1981,2668066,3565519965,457165,0.207,0.98,7799,60000,22480,158609,49005,0.31,1.05,20.3,27832,4.69,1.42,0.049,0.6,-,-,-,-,-,#DIV/0!,81685,0.16,-,-
Pennsylvania,1981,11858980,13594751154,1839015,0.184,0.87,7392,60000,107103,126932,47019,0.37,1.01,17.2,28370,3.92,1.34,0.058,0.6,-,-,-,-,-,#DIV/0!,279177,0.13,-,-
Rhode Island,1981,953045,1039708864,143414,0.177,0.84,7250,60000,8895,116887,52273,0.45,1.12,16.1,27972,3.86,1.36,0.062,0.6,-,-,-,-,-,#DIV/0!,26681,0.17,-,-
South Carolina,1981,3179153,2890924879,609158,0.237,1.12,4746,60000,32007,90322,37686,0.42,0.81,19,22518,4.01,1.06,0.053,0.6,-,-,-,-,-,#DIV/0!,120761,0.18,-,-
South Dakota,1981,689595,721614380,125657,0.223,1.05,5743,60000,7964,90610,35519,0.39,0.76,15.8,24700,4.22,1.18,0.063,0.6,-,-,-,-,-,#DIV/0!,32110,0.24,-,-
Tennessee,1981,4627692,3922921946,838297,0.221,1.05,4680,60000,40875,95974,39303,0.41,0.84,20.5,23412,3.53,1,0.049,0.6,-,-,-,-,-,#DIV/0!,212770,0.25,-,-
Texas,1981,14746836,15655129230,2935547,0.249,1.18,5333,60000,159640,98065,42433,0.43,0.91,18.4,29149,3.56,0.9,0.054,0.6,-,-,-,-,-,#DIV/0!,608321,0.21,-,-
Utah,1981,1515444,1650466824,355554,0.307,1.45,4642,60000,14463,114116,43698,0.38,0.94,24.6,23209,4.42,0.9,0.041,0.6,-,-,-,-,-,#DIV/0!,36498,0.11,-,-
Vermont,1981,515590,651088075,93183,0.221,1.04,6987,60000,6103,106683,35514,0.33,0.76,15.3,25025,4.97,1.41,0.065,0.6,-,-,-,-,-,#DIV/0!,15507,0.14,-,-
Virginia,1981,5444133,5776871090,989548,0.222,1.05,5838,60000,55471,104142,41048,0.39,0.88,17.8,29883,3.59,1.01,0.056,0.6,-,-,-,-,-,#DIV/0!,159576,0.17,-,-
Washington,1981,4235756,4860224158,750188,0.215,1.02,6479,60000,34576,140566,55398,0.39,1.19,21.7,30922,3.68,1.07,0.046,0.6,-,-,-,-,-,#DIV/0!,120866,0.15,-,-
West Virginia,1981,1954172,2382802868,377772,0.24,1.13,6308,60000,21870,108953,41340,0.38,0.89,17.3,22240,5.28,1.38,0.058,0.6,-,-,-,-,-,#DIV/0!,74554,0.19,-,-
Wisconsin,1981,4726341,5645931318,804262,0.205,0.97,7020,60000,46652,121022,46789,0.39,1.01,17.2,27828,4.13,1.26,0.058,0.6,-,-,-,-,-,#DIV/0!,88656,0.1,-,-
Wyoming,1981,491695,836353053,99541,0.254,1.2,8402,60000,6634,126071,51283,0.41,1.1,15,32478,5.04,1.24,0.067,0.6,-,-,-,-,-,#DIV/0!,8031,0.1,-,-
Alabama,1982,3925446,3576264346,724037,0.184,0.9,4939,59199,35619,100403,40771,0.41,0.85,20.3,22255,4.14,1.4,0.049,0.605,-,-,-,-,-,#DIV/0!,229654,0.32,-,-
Alaska,1982,449609,1505589629,89413,0.199,0.97,16839,161432,5710,263676,78638,0.3,1.64,15.7,46234,7.4,2.33,0.064,0.696,-,-,-,-,-,#DIV/0!,7341,0.1,-,-
Arizona,1982,2889834,2990229597,510296,0.214,1.04,5860,71370,26190,114174,48870,0.43,1.02,19.5,26634,3.95,1.15,0.051,0.604,-,-,-,-,-,#DIV/0!,83522,0.16,-,-
Arkansas,1982,2294167,1927508280,432565,0.232,1.13,4456,53781,23713,81285,34778,0.43,0.73,18.2,21750,3.9,1.05,0.055,0.633,-,-,-,-,-,#DIV/0!,134550,0.31,-,-
California,1982,24819484,26584883108,4065486,0.196,0.95,6539,86723,174674,152197,54644,0.36,1.14,23.3,33152,3.24,1.04,0.043,0.592,-,-,-,-,-,#DIV/0!,802200,0.19,-,-
Colorado,1982,3061454,3863429625,545209,0.217,1.05,7086,81439,29375,131521,49683,0.38,1.04,18.6,31530,4.07,1.17,0.054,0.648,-,-,-,-,-,#DIV/0!,67471,0.12,-,-
Connecticut,1982,3139086,4116346010,486470,0.183,0.89,8462,90541,32760,125652,47973,0.38,1,14.8,35852,3.67,1.25,0.067,0.748,-,-,-,-,-,#DIV/0!,72443,0.14,-,-
Delaware,1982,599138,707837729,92646,0.183,0.89,7640,92095,5409,130863,47727,0.36,1,17.1,30724,3.87,1.32,0.058,0.669,-,-,-,-,-,#DIV/0!,12636,0.13,-,-
District of Columbia,1982,634185,818035155,91105,0.168,0.81,8979,105323,5355,152761,61630,0.4,1.29,17,36411,3.68,1.37,0.059,0.668,-,-,-,-,-,#DIV/0!,20658,0.24,-,-
Florida,1982,10471494,9016341152,1484734,0.165,0.8,6073,71582,83301,108238,42289,0.39,0.88,17.8,28876,3.06,1.16,0.056,0.611,-,-,-,-,-,#DIV/0!,432100,0.25,-,-
Georgia,1982,5649718,5108911948,1053689,0.229,1.11,4849,59431,56510,90407,40292,0.45,0.84,18.6,24563,3.74,1.02,0.054,0.598,-,-,-,-,-,#DIV/0!,249597,0.24,-,-
Hawaii,1982,993774,1166468808,162024,0.195,0.95,7199,84477,7077,164825,57379,0.35,1.2,22.9,31767,3.82,1.23,0.044,0.579,-,-,-,-,-,#DIV/0!,21456,0.13,-,-
Idaho,1982,973683,959902463,202973,0.263,1.28,4729,59198,9790,98049,40693,0.42,0.85,20.7,23709,4.26,1.01,0.048,0.599,-,-,-,-,-,#DIV/0!,38207,0.19,-,-
Illinois,1982,11423677,12289497018,1880289,0.197,0.96,6536,84401,104619,117469,51638,0.44,1.08,18,31040,3.48,1.1,0.056,0.658,-,-,-,-,-,#DIV/0!,413552,0.19,-,-
Indiana,1982,5467962,5386740338,999542,0.224,1.09,5389,65762,50528,106609,46628,0.44,0.97,19.8,25630,3.84,1.07,0.051,0.596,-,-,-,-,-,#DIV/0!,146234,0.15,-,-
Iowa,1982,2888256,3547207158,504983,0.212,1.03,7024,82542,32110,110470,44562,0.4,0.93,15.7,27246,4.54,1.34,0.064,0.725,-,-,-,-,-,#DIV/0!,87554,0.17,-,-
Kansas,1982,2401139,2722777400,407074,0.204,0.99,6689,74380,26056,104497,42187,0.4,0.88,15.6,29464,3.91,1.2,0.064,0.742,-,-,-,-,-,#DIV/0!,52496,0.14,-,-
Kentucky,1982,3683297,2968262286,651084,0.215,1.04,4559,55882,32237,92076,42544,0.46,0.89,20.2,23123,3.51,1.02,0.05,0.601,-,-,-,-,-,#DIV/0!,173789,0.24,-,-
Louisiana,1982,4352783,4591687739,784027,0.22,1.07,5857,67760,42697,107541,42625,0.4,0.89,18.4,25457,4.15,1.18,0.054,0.651,-,-,-,-,-,#DIV/0!,294861,0.34,-,-
Maine,1982,1136658,1166194547,211986,0.229,1.11,5501,64257,12910,90333,37599,0.42,0.79,16.4,24344,4.31,1.18,0.061,0.667,-,-,-,-,-,#DIV/0!,49381,0.22,-,-
Maryland,1982,4282842,5097811611,699201,0.195,0.95,7291,87726,37760,135006,53043,0.39,1.11,18.5,32972,3.71,1.19,0.054,0.648,-,-,-,-,-,#DIV/0!,121854,0.15,-,-
Massachusetts,1982,5771438,6718549792,908984,0.187,0.91,7391,93234,56498,118917,50541,0.43,1.06,16.1,31394,3.75,1.26,0.062,0.741,-,-,-,-,-,#DIV/0!,156297,0.15,-,-
Michigan,1982,9115585,12874899043,1674697,0.225,1.09,7688,92512,80364,160207,59499,0.37,1.24,20.8,27525,5.1,1.42,0.048,0.575,-,-,-,-,-,#DIV/0!,311572,0.17,-,-
