State,Year,Population,Expenditures for K12 (Inflation Adjusted: 2012 dollars),Students,Students per Capita,Students per Capita Index (US average = 1.0),Expenditures per Student (Inflation adjusted to 2012 dollars),"Expenditures per student, 13 year cumulative (infl adj)",Teachers,Expenditures per Teacher (adjusted for Inflation: 2012 dollars),Teacher Salary (inflation adjusted: 2012 dollars),Teacher Salaries as Percent of Current Expense of Education,Teacher Salary Index,Students Per Teacher,Income per Capita (2013 inflation),Effort: Education Spending vs State Income,Effort Per Student (Index: 1970 effort = 100),Teachers per student,"Teachers per Student, 13-year cumulative",High School Graduation Rate (from 1992 onward),NAEP Math Grade 4,NAEP Math Grade 8,NAEP Reading Grade 4,NAEP Reading Grade 8,"NAEP average of percent proficient, grades 4 and 8 Math and Reading","POVERTY: Children between 6-17 years-old, Number","POVERTY: Children between 6-17 years-old, Percent",Teacher count (BLS data),BLS teacher count vs. NCES
Idaho,1975,831948,916231446,196616,0.309,1.18,4660,60000,9009,101702,41822,0.41,0.81,21.8,24873,4.44,0.9,0.046,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Illinois,1975,11306055,14820912726,2269892,0.251,0.96,6529,60000,113589,130478,57713,0.44,1.12,20,30674,4.21,1.05,0.05,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Indiana,1975,5351183,5864103670,1173863,0.281,1.07,4996,60000,53088,110460,48989,0.44,0.95,22.1,25456,4.22,0.94,0.045,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Iowa,1975,2881458,3875502217,612111,0.27,1.03,6331,60000,33100,117085,49686,0.42,0.96,18.5,27383,4.85,1.13,0.054,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Kansas,1975,2278476,2263041630,465355,0.257,0.98,4863,60000,25668,88166,44493,0.5,0.86,18.1,27589,3.6,0.88,0.055,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Kentucky,1975,3469098,2913578189,691612,0.249,0.95,4213,60000,31962,91158,40070,0.44,0.78,21.6,21780,3.82,0.96,0.046,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Louisiana,1975,3886777,4267910389,847202,0.279,1.06,5038,60000,41054,103958,43645,0.42,0.85,20.6,21934,4.98,1.12,0.048,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Maine,1975,1073277,1139005021,250931,0.305,1.16,4539,60000,12304,92572,43493,0.47,0.84,20.4,22514,4.75,0.97,0.049,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Maryland,1975,4156931,5949247917,880927,0.269,1.02,6753,60000,42378,140385,56115,0.4,1.09,20.8,31539,4.67,1.09,0.048,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Massachusetts,1975,5762570,8996300755,1198410,0.263,1,7507,60000,64100,140348,55366,0.39,1.07,18.7,28548,5.44,1.3,0.053,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Michigan,1975,9107311,14265787009,2073288,0.295,1.12,6881,60000,89847,158779,59801,0.38,1.16,23.1,27250,5.58,1.19,0.043,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Minnesota,1975,3925931,6046656030,879944,0.289,1.1,6872,60000,44779,135033,52118,0.39,1.01,19.7,27287,5.56,1.2,0.051,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Mississippi,1975,2399706,2067402473,512407,0.272,1.03,4035,60000,23881,86571,37989,0.44,0.74,21.5,18814,4.6,1.06,0.047,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Missouri,1975,4795794,4815247194,965360,0.252,0.96,4988,60000,49283,97706,44239,0.45,0.86,19.6,25446,3.92,0.97,0.051,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Montana,1975,749224,1103810346,171788,0.298,1.13,6425,60000,9052,121941,45230,0.37,0.88,19,25957,5.7,1.2,0.053,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Nebraska,1975,1541460,1852413363,315669,0.258,0.98,5868,60000,17707,104615,42629,0.41,0.83,17.8,27560,4.37,1.06,0.056,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Nevada,1975,619870,771969754,139745,0.291,1.11,5524,60000,5750,134256,52290,0.39,1.01,24.3,31288,3.98,0.86,0.041,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
New Hampshire,1975,829961,893122708,174597,0.266,1.01,5115,60000,8775,101780,41978,0.41,0.81,19.9,25127,4.32,1.01,0.05,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
New Jersey,1975,7340931,11056643831,1458000,0.248,0.94,7583,60000,80410,137503,55722,0.41,1.08,18.1,31219,4.8,1.21,0.055,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
New Mexico,1975,1162719,1405918733,274612,0.309,1.18,5120,60000,12883,109130,44255,0.41,0.86,21.3,23074,5.38,1.09,0.047,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
New York,1975,18031286,31357663725,3417453,0.234,0.89,9176,60000,180880,173362,66817,0.39,1.29,18.9,30603,5.61,1.5,0.053,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
North Carolina,1975,5535176,5548690522,1184996,0.272,1.04,4682,60000,52379,105933,46114,0.44,0.89,22.6,22549,4.46,1.03,0.044,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
North Dakota,1975,638440,744866474,131331,0.259,0.99,5672,60000,7594,98086,42244,0.43,0.82,17.3,28494,4.1,0.99,0.058,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Ohio,1975,10770849,12176014209,2292647,0.27,1.03,5311,60000,105875,115004,47331,0.41,0.92,21.7,26586,4.17,0.96,0.046,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Oklahoma,1975,2772030,2859344939,594816,0.273,1.04,4807,60000,29762,96074,39734,0.41,0.77,20,24517,4.22,0.97,0.05,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Oregon,1975,2324648,3377736881,477559,0.259,0.98,7073,60000,23808,141874,50304,0.35,0.97,20.1,27543,5.28,1.28,0.05,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Pennsylvania,1975,11897063,15399365146,2246147,0.233,0.89,6856,60000,116255,132462,51660,0.39,1,19.3,27050,4.71,1.27,0.052,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Rhode Island,1975,946349,958930345,176317,0.229,0.87,5439,60000,9196,104277,53245,0.51,1.03,19.2,26087,3.89,1.06,0.052,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
South Carolina,1975,2900342,2809911366,629729,0.277,1.06,4462,60000,28695,97923,40610,0.41,0.79,21.9,21432,4.6,1.04,0.046,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
South Dakota,1975,681386,823591873,151217,0.285,1.09,5446,60000,8083,101892,38530,0.38,0.75,18.7,25429,4.76,1.04,0.053,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Tennessee,1975,4260704,3603526380,876926,0.259,0.99,4109,60000,39855,90416,42293,0.47,0.82,22,22242,3.78,0.91,0.045,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Texas,1975,12569058,14272953164,2812888,0.288,1.1,5074,60000,143390,99539,46352,0.47,0.9,19.6,25602,4.45,0.97,0.051,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
Utah,1975,1234024,1451108660,309708,0.335,1.28,4685,60000,12521,115894,45787,0.4,0.89,24.7,22960,5.11,0.95,0.04,0.6,-,-,-,-,-,#DIV/0!,-,-,-,-
