SELPA,County,2005,2006,2007,2008,2009,2010,2011
Nevada County,Nevada,2.109375,0.6666666667,0.9259259259,0.9860312243,0.7287449393,1.02685624,1.257861635
Newport-Mesa Unified,Orange,0.3712871287,0.2733485194,0.6565449323,0.1211142511,9.983221477,3.508030431,4.04551201
North Coastal,San Diego,0.4024621212,0.2883865939,1.270735048,1.296475672,2.817945866,2.137282077,4.252889967
North Inland,San Diego,0.5881160008,1.008151008,1.179941003,2.249575552,1.840234212,1.060670344,1.285240464
North Region,Alameda,16.52229708,11.63879599,13.85211495,16.77482154,26.23730964,25.70016474,23.07692308
Northeast Orange County,Orange,1.142546246,0.5151688609,2.314285714,1.718213058,0.0570450656,0,1.139925905
Norwalk-La Mirada/ABC,Los Angeles,0.561676388,1.040253279,0.4915730337,0.7940214853,1.973371374,0.8538899431,0.2624671916
Oakland Unified,Alameda,0,16.48621042,34.12631579,53.16804408,44.39885105,57.71164287,33.60849057
Orange Unified,Orange,1.272827892,2.134696332,3.876201923,5.574587356,3.205918619,3.877171216,2.788605697
Pajaro Valley Jt Unified,Santa Cruz,0,0.7778738116,0.8309098463,1.246364769,2.65914585,1.732965735,1.440809969
Pasadena Unified,Los Angeles,0,0.0407996736,0.1648125258,0.852151683,2.709677419,2.673312188,1.117318436
Placer County,Placer,0.4090577064,0.130699971,0.1296269624,0.2414429768,0.6533162903,1.028538317,1.069209652
Plumas County,Plumas,0.3039513678,0.6756756757,2.112676056,1.901140684,1.413427562,0,1.872659176
Pomona Unified School District,Los Angeles,0,0,0,0,0.7360321178,1.114306254,1.215022091
Poway Unified,San Diego,4.709058188,6.03522957,2.275960171,17.34432755,5.819510824,9.350872176,10.59474412
Puente Hills Serv Area,Los Angeles,3.248149033,3.990024938,1.834407536,2.557031838,0.8675078864,1.039325843,1.269751693
Riverside County,Riverside,1.891107078,0.7809476906,0.7259656047,0.9956355701,0.7900639416,0.8761279737,1.882013466
Riverside Unified,Riverside,1.775926332,1.335961454,1.349259013,2.644808743,3.743778403,6.790945406,4.342076262
S Orange County,Orange,0.1770956316,0.1481920569,0.6360219717,1.647584474,1.607538803,2.517985612,3.627932351
Sacramento City Unified,Sacramento,6.099385076,2.028469751,4.800300019,11.41335362,10.40074557,15.71243283,13.70711001
Sacramento County,Sacramento,1.640169048,1.441008706,2.021803766,2.424483307,1.634074471,1.618122977,1.22748499
San Benito County,San Benito,0.1531393568,0.9538950715,0.8032128514,0.6445672192,2.272727273,0.338123415,1.213171577
San Bernardino City Unified,San Bernardino,0,0.2195945946,1.070505722,2.137767221,1.001803246,0.8331680222,0.9330950963
San Diego City Unified,San Diego,6.910772307,8.615927123,4.31479613,2.753799392,4.676258993,1.843953015,3.00921323
San Francisco Unified,San Francisco,3.517124866,5.413718856,7.032930664,7.30671198,17.17235902,22.78858218,18.67362146
San Joaquin County,San Joaquin,10.41735674,3.193057148,3.773584906,2.99513878,4.660194175,3.824666953,3.398458998
San Juan Unified,Sacramento,2.566259992,2.789792388,1.693424236,3.237019335,2.129490213,8.888888889,7.909176916
San Luis Obispo County,San Luis Obispo,0.1927246447,0.2872875269,0.2726146221,0.1753507014,0.7052896725,1.725862931,2.268244576
San Mateo County,San Mateo,0,0.1692215807,0.0773918932,1.178499569,1.966101695,3.848419399,0.9471191792
San Ramon Valley,Contra Costa,0,0,0.1269572577,0.3996447602,0.9182736455,0.8455718736,3.346203346
Santa Ana Unified,Orange,0.1630139467,1.368181021,1.53603781,3.253953827,1.487314086,0.7364544976,1.011122346
Santa Barbara County,Santa Barbara,1.06491612,0.532660499,1.30157851,0.8084406687,2.337981952,2.03942896,2.289156627
Santa Clara Area I,Santa Clara,2.261007537,10.63084112,12.38167361,12.81179138,1.617149304,4.998175848,3.885630499
Santa Clara Area II,Santa Clara,0,0,0,0,2.065339842,1.621621622,0.4915730337
Santa Clara Area III,Santa Clara,0,0,0,0,2.493469485,3.004191896,3.595812472
Santa Clara Area IV,Santa Clara,0,0,0,0,0.6038978864,0.3109101187,0.6470746832
Santa Clara Area VII,Santa Clara,0,0,0,0,0.883218842,1.309635173,2.690166976
Santa Clarita Valley,Los Angeles,0.1262398557,1.10701107,1.296542553,0.4426955239,4.205981129,1.969575661,2.280183727
Shasta County,Shasta,0,0.7936507937,1.594154766,1.501305483,1.733911304,3.165418652,3.191489362
Sierra County,Sierra,0,0,0,0,0,0,0
Sierra Sands,Kern,0,1.597444089,4.874213836,5.166666667,1.901743265,7.448494453,1.078582435
Siskiyou County,Siskiyou,7.085561497,0.1317523057,1.955671447,0.9641873278,0.4255319149,1.125175809,0.4098360656
Solano County,Solano,11.02904146,4.298140884,7.407407407,2.987101154,3.669885865,4.557640751,5.263157895
Sonoma County,Sonoma,3.456,5.135855088,7.041206457,4.402054292,9.561586639,7.918599747,6.21170505
