State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
New York,114,121,117,106,100,112,117,106,91,76,69,75,81,91,76,80,80,78,72,68,69,77,77,77,78,70,67,56,51,48,46,43,46,49,44,39,32,31,42,51,47,41,39,40
North Carolina,120,134,124,114,102,100,99,96,84,65,66,68,73,72,73,76,79,72,63,63,62,57,51,47,45,36,33,33,37,43,49,50,51,48,40,35,37,34,35,33,32,26,19,16
North Dakota,104,92,74,24,30,44,59,62,35,37,60,52,61,64,58,59,61,54,68,52,41,46,40,41,34,37,27,31,22,24,19,21,22,19,21,18,16,9,-1,4,2,-4,-16,-8
Ohio,101,97,101,80,66,73,77,69,60,47,48,58,70,76,69,73,79,76,76,71,68,70,71,71,68,66,63,55,53,51,49,50,52,55,53,54,51,50,50,58,58,47,40,36
Oklahoma,102,95,84,64,55,58,64,63,51,35,37,35,48,57,47,60,61,57,53,46,46,50,48,50,51,46,44,44,38,34,39,31,29,26,29,24,25,25,16,36,37,14,7,6
Oregon,114,115,99,77,65,78,77,71,62,52,54,71,88,94,86,90,91,87,81,74,72,79,83,84,78,73,69,66,61,53,56,57,62,63,53,51,47,45,48,56,57,52,47,47
Pennsylvania,113,123,116,95,80,86,88,83,73,58,55,61,72,82,77,79,84,81,78,74,77,87,92,92,95,93,89,80,74,66,62,61,61,57,53,50,44,39,39,45,45,41,38,38
Rhode Island,108,117,117,106,99,98,104,111,97,80,77,82,90,100,97,99,100,94,83,77,67,75,76,76,77,73,70,65,60,58,61,58,56,54,50,49,44,40,39,44,42,40,37,38
South Carolina,107,110,109,90,82,85,84,84,72,59,57,63,72,73,80,84,90,87,78,75,70,67,68,64,60,59,56,54,48,49,51,54,57,53,50,47,41,41,42,46,51,39,37,35
South Dakota,109,103,84,42,45,47,68,57,41,31,44,40,47,55,43,47,48,45,43,37,31,33,32,33,29,28,19,21,15,11,11,10,14,7,5,4,5,-1,-13,0,-13,-13,-15,-13
Tennessee,122,122,110,89,85,86,89,84,73,62,59,63,73,73,76,75,76,70,68,65,62,61,53,55,57,51,49,48,41,35,36,37,39,37,36,34,32,32,30,34,33,27,22,21
Texas,107,109,98,73,64,76,70,67,51,38,37,42,56,61,70,71,76,73,68,63,57,59,57,55,53,49,44,41,35,39,35,32,36,35,32,26,27,25,19,31,27,18,13,13
Utah,117,117,102,90,83,94,100,107,83,71,76,83,100,99,91,95,94,80,71,65,65,66,65,61,60,58,54,49,43,45,47,46,49,49,46,39,31,27,27,45,44,41,38,24
Vermont,114,112,106,81,74,75,76,71,54,39,35,38,49,57,53,58,57,60,63,59,66,80,78,72,69,65,62,51,43,39,34,31,36,32,32,35,31,20,19,24,25,19,18,23
Virginia,98,98,91,70,60,62,64,55,44,30,28,34,43,46,42,46,52,52,50,49,48,45,42,41,40,37,36,32,28,25,24,24,26,22,13,10,6,6,7,13,15,3,0,2
Washington,117,119,112,91,81,86,93,90,77,64,67,74,78,80,76,74,74,69,63,56,57,62,60,57,53,54,45,40,30,30,28,31,34,31,25,23,19,17,19,26,26,17,11,12
West Virginia,132,134,115,92,82,94,101,91,79,65,63,81,81,83,86,89,92,83,69,63,72,77,86,82,83,79,77,71,68,67,62,58,59,55,49,44,42,44,42,45,49,33,29,27
Wisconsin,132,132,124,98,82,87,90,80,68,54,53,64,81,88,82,88,91,86,85,76,74,83,77,71,70,65,60,54,49,46,43,39,38,34,33,35,32,30,32,33,34,32,27,24
Wyoming,107,107,90,64,47,63,72,65,45,36,40,54,76,97,93,91,100,89,82,66,55,59,53,51,48,44,39,31,29,23,20,23,20,18,12,9,12,13,9,25,27,16,8,7
Average Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
