State,Year,Average Teacher Salary,Students per Teacher
Iowa,1990,48926,16
Kansas,1990,52056,15
Kentucky,1990,50915,17
Louisiana,1990,45888,17
Maine,1990,49894,14
Maryland,1990,67122,17
Massachusetts,1990,63760,15
Michigan,1990,68987,20
Minnesota,1990,57931,17
Mississippi,1990,42611,18
Missouri,1990,49466,16
Montana,1990,46822,16
Nebraska,1990,46503,15
Nevada,1990,56326,19
New Hampshire,1990,54562,16
New Jersey,1990,67172,14
New Mexico,1990,45006,18
New York,1990,73589,15
North Carolina,1990,51197,17
North Dakota,1990,41226,16
Ohio,1990,57036,17
Oklahoma,1990,42769,16
Oregon,1990,56486,18
Pennsylvania,1990,63056,17
Rhode Island,1990,61202,15
South Carolina,1990,49491,17
South Dakota,1990,39131,15
Tennessee,1990,49399,19
Texas,1990,49528,15
Utah,1990,44730,25
Vermont,1990,54626,13
Virginia,1990,56228,16
Washington,1990,57848,20
West Virginia,1990,45411,15
Wisconsin,1990,58076,16
Wyoming,1990,50623,14
Alabama,1991,45906,18
Alaska,1991,76015,17
Arizona,1991,53063,19
Arkansas,1991,46075,17
California,1991,67950,23
Colorado,1991,56290,18
Connecticut,1991,79948,14
Delaware,1991,58803,17
District of Columbia,1991,66036,13
Florida,1991,52882,18
Georgia,1991,49992,18
Hawaii,1991,58768,18
Idaho,1991,44822,19
Illinois,1991,62058,17
Indiana,1991,57880,18
Iowa,1991,49704,16
Kansas,1991,52305,15
Kentucky,1991,52543,17
Louisiana,1991,44191,17
Maine,1991,51226,14
Maryland,1991,65916,17
Massachusetts,1991,64415,15
Michigan,1991,70619,19
Minnesota,1991,58638,17
Mississippi,1991,41475,18
Missouri,1991,49180,16
Montana,1991,46959,16
Nebraska,1991,46349,15
Nevada,1991,57627,19
New Hampshire,1991,56457,15
New Jersey,1991,69830,14
New Mexico,1991,44660,18
New York,1991,73758,15
North Carolina,1991,49003,17
North Dakota,1991,41692,15
Ohio,1991,56052,17
Oklahoma,1991,43129,16
Oregon,1991,58040,19
Pennsylvania,1991,65895,17
Rhode Island,1991,61983,15
South Carolina,1991,47773,17
South Dakota,1991,39643,15
Tennessee,1991,48715,19
Texas,1991,49429,16
Utah,1991,44830,25
Vermont,1991,57267,14
Virginia,1991,54064,16
Washington,1991,59271,20
West Virginia,1991,46579,15
Wisconsin,1991,59959,16
Wyoming,1991,51786,16
Alabama,1992,45214,17
Alaska,1992,78340,16
Arizona,1992,52594,18
Arkansas,1992,46019,17
California,1992,67158,23
Colorado,1992,56265,18
Connecticut,1992,81095,14
Delaware,1992,60754,17
District of Columbia,1992,64923,12
Florida,1992,52292,18
Georgia,1992,50699,18
Hawaii,1992,61179,16
Idaho,1992,45310,19
Illinois,1992,64805,16
Indiana,1992,58824,17
Iowa,1992,50544,15
Kansas,1992,55128,15
Kentucky,1992,52195,17
Louisiana,1992,43787,16
Maine,1992,50745,14
Maryland,1992,65009,16
Massachusetts,1992,65044,15
Michigan,1992,73644,19
Minnesota,1992,58868,17
Mississippi,1992,40875,18
Missouri,1992,49277,16
Montana,1992,46328,16
Nebraska,1992,48236,14
Nevada,1992,57235,19
New Hampshire,1992,56919,15
New Jersey,1992,71595,13
New Mexico,1992,44507,16
New York,1992,75486,14
North Carolina,1992,49176,16
North Dakota,1992,42292,15
Ohio,1992,57906,17
Oklahoma,1992,43478,15
Oregon,1992,60189,19
Pennsylvania,1992,69139,17
Rhode Island,1992,63632,14
South Carolina,1992,49024,17
South Dakota,1992,40745,15
Tennessee,1992,48580,19
Texas,1992,50217,16
Utah,1992,45693,24
Vermont,1992,58417,13
Virginia,1992,54112,15
Washington,1992,59986,20
West Virginia,1992,50831,15
Wisconsin,1992,60267,15
Wyoming,1992,50459,17
Alabama,1993,46980,17
Alaska,1993,77760,17
Arizona,1993,52046,19
Arkansas,1993,45987,17
California,1993,65898,23
Colorado,1993,55362,18
Connecticut,1993,81454,14
Delaware,1993,61324,16
District of Columbia,1993,69627,12
Florida,1993,52282,18
Georgia,1993,50266,17
Hawaii,1993,59843,18
Idaho,1993,45427,19
Illinois,1993,64463,16
Indiana,1993,58448,17
Iowa,1993,50344,15
Kansas,1993,55506,15
Kentucky,1993,51759,17
Louisiana,1993,42709,16
Maine,1993,50729,14
Maryland,1993,64571,17
Massachusetts,1993,63866,15
Michigan,1993,73413,19
Minnesota,1993,58002,17
Mississippi,1993,41166,17
Missouri,1993,49622,15
Montana,1993,46154,16
Nebraska,1993,48387,14
Nevada,1993,55573,19
New Hampshire,1993,55845,15
New Jersey,1993,73148,13
New Mexico,1993,44521,17
New York,1993,74914,14
North Carolina,1993,48654,16
North Dakota,1993,41744,15
Ohio,1993,58384,17
Oklahoma,1993,44205,15
Oregon,1993,61724,19
Pennsylvania,1993,69411,17
Rhode Island,1993,64256,14
South Carolina,1993,48390,16
South Dakota,1993,41340,15
Tennessee,1993,49941,18
Texas,1993,49966,16
Utah,1993,45345,24
Vermont,1993,56492,14
Virginia,1993,54025,14
Washington,1993,58695,20
West Virginia,1993,49999,15
Wisconsin,1993,58903,16
Wyoming,1993,50657,15
Alabama,1994,49761,17
Alaska,1994,76616,17
Arizona,1994,51410,19
Arkansas,1994,46230,17
California,1994,65634,23
Colorado,1994,55238,18
Connecticut,1994,79962,14
Delaware,1994,62435,17
District of Columbia,1994,69823,12
Florida,1994,52069,19
Georgia,1994,51595,16
Hawaii,1994,61544,18
Idaho,1994,47588,19
Illinois,1994,63003,16
Indiana,1994,58776,17
Iowa,1994,50347,15
Kansas,1994,55367,15
Kentucky,1994,51541,16
Louisiana,1994,42279,16
Maine,1994,51085,14
Maryland,1994,64968,16
Massachusetts,1994,65182,14
Michigan,1994,66940,19
Minnesota,1994,57437,17
Mississippi,1994,42850,17
Missouri,1994,49833,15
Montana,1994,45992,16
Nebraska,1994,49407,14
Nevada,1994,55661,19
New Hampshire,1994,55476,15
New Jersey,1994,73637,13
New Mexico,1994,45526,17
New York,1994,76075,14
North Carolina,1994,49201,16
North Dakota,1994,42065,15
Ohio,1994,58803,16
Oklahoma,1994,45013,15
Oregon,1994,61603,20
Pennsylvania,1994,71119,17
Rhode Island,1994,65077,14
South Carolina,1994,48380,16
South Dakota,1994,41533,14
Tennessee,1994,51892,18
Texas,1994,49887,15
Utah,1994,46468,24
Vermont,1994,56572,13
Virginia,1994,54304,14
Washington,1994,57762,20
West Virginia,1994,51041,14
Wisconsin,1994,60311,16
Wyoming,1994,49987,15
Alabama,1995,48545,17
Alaska,1995,76928,17
Arizona,1995,50361,19
Arkansas,1995,45459,17
California,1995,65515,23
Colorado,1995,54826,18
Connecticut,1995,77911,14
Delaware,1995,62839,17
District of Columbia,1995,67748,13
Florida,1995,51672,18
Georgia,1995,52714,16
Hawaii,1995,55513,18
Idaho,1995,47891,19
Illinois,1995,63438,16
Indiana,1995,58408,17
Iowa,1995,50187,15
Kansas,1995,54469,15
Kentucky,1995,51285,16
Louisiana,1995,41548,16
Maine,1995,50957,14
Maryland,1995,63811,16
Massachusetts,1995,65523,14
Michigan,1995,69449,19
Minnesota,1995,57265,18
Mississippi,1995,42932,17
Missouri,1995,51689,15
Montana,1995,45524,16
Nebraska,1995,48829,14
Nevada,1995,56070,19
New Hampshire,1995,55489,16
New Jersey,1995,74276,13
New Mexico,1995,45074,16
New York,1995,74593,14
North Carolina,1995,47147,16
North Dakota,1995,41811,16
Ohio,1995,58656,17
Oklahoma,1995,44035,15
Oregon,1995,61558,20
Pennsylvania,1995,71450,17
Rhode Island,1995,65361,14
South Carolina,1995,49024,16
South Dakota,1995,40845,15
Tennessee,1995,51356,16
Texas,1995,49611,15
Utah,1995,47421,23
Vermont,1995,56269,13
Virginia,1995,53939,14
Washington,1995,58684,20
West Virginia,1995,49850,14
Wisconsin,1995,59195,15
Wyoming,1995,48946,15
Alabama,1996,49104,16
Alaska,1996,76406,17
Arizona,1996,50312,19
Arkansas,1996,45220,17
California,1996,65585,22
Colorado,1996,54574,18
Connecticut,1996,76073,14
Delaware,1996,62511,17
District of Columbia,1996,67905,13
Florida,1996,51113,18
Georgia,1996,54373,16
Hawaii,1996,54071,18
Idaho,1996,48001,19
Illinois,1996,64386,16
Indiana,1996,58194,17
Iowa,1996,50199,15
Kansas,1996,54064,15
Kentucky,1996,51217,16
Louisiana,1996,42764,16
Maine,1996,50991,13
Maryland,1996,62076,16
Massachusetts,1996,66086,14
Michigan,1996,66757,19
Minnesota,1996,57289,17
Mississippi,1996,41819,17
Missouri,1996,51808,15
Montana,1996,45183,16
Nebraska,1996,47925,14
Nevada,1996,56331,19
New Hampshire,1996,55618,15
New Jersey,1996,74448,13
New Mexico,1996,44828,16
New York,1996,74766,14
North Carolina,1996,47106,16
North Dakota,1996,41805,15
Ohio,1996,58581,17
Oklahoma,1996,44157,16
Oregon,1996,61702,20
Pennsylvania,1996,71552,17
Rhode Island,1996,64899,14
South Carolina,1996,49270,16
South Dakota,1996,40376,15
Tennessee,1996,50974,16
Texas,1996,49247,15
Utah,1996,47898,24
Vermont,1996,56120,13
Virginia,1996,54064,14
Washington,1996,57116,20
West Virginia,1996,50024,14
Wisconsin,1996,58760,16
Wyoming,1996,47854,15
Alabama,1997,48399,16
Alaska,1997,70200,17
Arizona,1997,50748,20
Arkansas,1997,46591,17
California,1997,65752,21
Colorado,1997,54920,18
Connecticut,1997,74815,14
Delaware,1997,62588,16
District of Columbia,1997,68355,16
Florida,1997,50843,18
Georgia,1997,55405,16
Hawaii,1997,56597,18
Idaho,1997,48422,18
Illinois,1997,64433,16
Indiana,1997,58622,17
Iowa,1997,50266,15
Kansas,1997,54288,15
Kentucky,1997,51046,16
Louisiana,1997,44376,15
Maine,1997,50657,13
Maryland,1997,61555,17
Massachusetts,1997,64786,14
Michigan,1997,70051,18
Minnesota,1997,55941,16
Mississippi,1997,42314,17
Missouri,1997,50062,15
Montana,1997,45157,16
Nebraska,1997,48178,14
Nevada,1997,54705,18
New Hampshire,1997,54069,15
New Jersey,1997,74390,13
New Mexico,1997,44467,17
New York,1997,71839,14
North Carolina,1997,48858,16
North Dakota,1997,41633,15
Ohio,1997,57494,16
Oklahoma,1997,45264,15
Oregon,1997,62235,20
Pennsylvania,1997,70113,17
Rhode Island,1997,65332,14
South Carolina,1997,49695,15
South Dakota,1997,41109,15
Tennessee,1997,52118,16
Texas,1997,50338,15
Utah,1997,47774,22
Vermont,1997,53533,13
Virginia,1997,54056,14
Washington,1997,57169,20
West Virginia,1997,49253,14
Wisconsin,1997,58042,15
Wyoming,1997,47225,14
Alabama,1998,52016,15
Alaska,1998,68026,16
Arizona,1998,50861,20
Arkansas,1998,46977,16
California,1998,65927,20
Colorado,1998,55218,17
Connecticut,1998,74908,14
Delaware,1998,62680,16
District of Columbia,1998,68469,12
Florida,1998,51110,18
Georgia,1998,57614,15
Hawaii,1998,58633,18
Idaho,1998,49464,18
Illinois,1998,66173,16
Indiana,1998,59775,17
Iowa,1998,50719,15
Kansas,1998,54318,14
Kentucky,1998,51589,15
Louisiana,1998,47209,15
Maine,1998,50689,13
Maryland,1998,61754,16
Massachusetts,1998,65456,13
Michigan,1998,70004,17
Minnesota,1998,57299,16
Mississippi,1998,42882,16
Missouri,1998,50456,14
Montana,1998,45534,16
Nebraska,1998,47747,14
Nevada,1998,56464,19
New Hampshire,1998,54318,15
New Jersey,1998,74340,13
New Mexico,1998,47047,16
New York,1998,71790,14
North Carolina,1998,52420,16
North Dakota,1998,42077,14
Ohio,1998,58908,16
Oklahoma,1998,45233,15
Oregon,1998,62200,20
Pennsylvania,1998,70367,16
Rhode Island,1998,66291,14
South Carolina,1998,50108,15
South Dakota,1998,41462,14
Tennessee,1998,53003,15
Texas,1998,50885,15
Utah,1998,47848,22
Vermont,1998,53439,12
Virginia,1998,54419,14
Washington,1998,56186,20
West Virginia,1998,49727,14
Wisconsin,1998,59040,14
Wyoming,1998,48647,14
Alabama,1999,52127,15
Alaska,1999,66012,17
Arizona,1999,52429,19
Arkansas,1999,47434,14
California,1999,67742,20
Colorado,1999,54221,17
Connecticut,1999,73567,14
Delaware,1999,63132,15
District of Columbia,1999,66884,14
Florida,1999,52173,18
Georgia,1999,58284,15
Hawaii,1999,57652,17
Idaho,1999,50504,18
Illinois,1999,66046,16
Indiana,1999,59459,17
Iowa,1999,50690,14
Kansas,1999,49700,14
Kentucky,1999,51688,15
Louisiana,1999,47040,15
Maine,1999,50524,13
Maryland,1999,62582,16
Massachusetts,1999,66179,12
Michigan,1999,69680,17
Minnesota,1999,56549,15
Mississippi,1999,45261,16
Missouri,1999,50659,14
Montana,1999,45636,15
Nebraska,1999,47222,14
Nevada,1999,55964,19
New Hampshire,1999,53611,15
New Jersey,1999,73901,12
New Mexico,1999,46252,16
New York,1999,72488,13
North Carolina,1999,55984,15
North Dakota,1999,42428,14
Ohio,1999,58871,16
Oklahoma,1999,44467,15
Oregon,1999,60150,19
Pennsylvania,1999,68653,16
Rhode Island,1999,66834,14
South Carolina,1999,51263,14
South Dakota,1999,41303,14
Tennessee,1999,51614,15
Texas,1999,53374,14
Utah,1999,49650,21
Vermont,1999,53645,12
Virginia,1999,55046,13
Washington,1999,58313,20
West Virginia,1999,49740,14
Wisconsin,1999,58469,14
Wyoming,1999,48487,13
Alabama,2000,50954,15
Alaska,2000,66148,17
Arizona,2000,51088,20
Arkansas,2000,47616,14
California,2000,72137,20
Colorado,2000,53861,17
Connecticut,2000,72430,13
Delaware,2000,64669,15
District of Columbia,2000,66947,12
Florida,2000,52550,18
Georgia,2000,58029,16
Hawaii,2000,55054,17
Idaho,2000,51477,18
Illinois,2000,65769,16
Indiana,2000,59534,17
Iowa,2000,50143,14
Kansas,2000,49348,14
Kentucky,2000,50294,16
Louisiana,2000,46206,14
Maine,2000,49997,12
Maryland,2000,63179,16
Massachusetts,2000,66871,14
Michigan,2000,70539,17
Minnesota,2000,58023,16
Mississippi,2000,43923,16
Missouri,2000,50467,14
Montana,2000,45703,15
Nebraska,2000,46976,13
Nevada,2000,55592,18
New Hampshire,2000,52647,14
New Jersey,2000,71846,12
New Mexico,2000,46440,15
New York,2000,70790,13
North Carolina,2000,57017,15
North Dakota,2000,42462,13
Ohio,2000,58782,15
Oklahoma,2000,47421,14
Oregon,2000,61840,19
Pennsylvania,2000,68079,15
Rhode Island,2000,66631,14
South Carolina,2000,52148,15
South Dakota,2000,41601,14
Tennessee,2000,51451,15
Texas,2000,52730,14
Utah,2000,50091,21
Vermont,2000,52581,12
Virginia,2000,55223,13
Washington,2000,57920,20
West Virginia,2000,49330,13
Wisconsin,2000,57899,14
Wyoming,2000,47667,13
Alabama,2001,49711,16
Alaska,2001,66049,17
Arizona,2001,53425,20
Arkansas,2001,49401,14
California,2001,72638,20
Colorado,2001,54342,16
Connecticut,2001,71573,13
Delaware,2001,64639,15
District of Columbia,2001,62883,12
Florida,2001,52492,18
Georgia,2001,58905,15
Hawaii,2001,56956,17
Idaho,2001,52915,18
Illinois,2001,66072,16
Indiana,2001,59068,17
Iowa,2001,51096,14
Kansas,2001,49576,14
Kentucky,2001,50723,15
Louisiana,2001,48554,14
Maine,2001,49853,12
Maryland,2001,64489,16
Massachusetts,2001,67218,14
Michigan,2001,70403,17
Minnesota,2001,56394,16
Mississippi,2001,44500,15
Missouri,2001,50783,14
Montana,2001,45949,15
Nebraska,2001,48431,13
Nevada,2001,54482,18
New Hampshire,2001,53348,14
New Jersey,2001,71093,12
New Mexico,2001,48703,15
New York,2001,69500,13
North Carolina,2001,57043,15
North Dakota,2001,43107,13
Ohio,2001,58846,15
Oklahoma,2001,46437,14
Oregon,2001,61589,19
Pennsylvania,2001,67627,15
Rhode Island,2001,66503,14
South Carolina,2001,53358,14
South Dakota,2001,41827,13
Tennessee,2001,51477,15
Texas,2001,52435,14
Utah,2001,50005,21
Vermont,2001,52446,12
Virginia,2001,55775,13
Washington,2001,58091,19
West Virginia,2001,49119,14
Wisconsin,2001,56444,14
Wyoming,2001,50570,13
Alabama,2002,50321,15
Alaska,2002,65372,16
Arizona,2002,53806,20
Arkansas,2002,49673,15
California,2002,74053,20
Colorado,2002,54307,16
Connecticut,2002,71526,13
Delaware,2002,66802,15
District of Columbia,2002,66790,13
Florida,2002,51925,18
Georgia,2002,59909,15
Hawaii,2002,58503,17
Idaho,2002,52824,18
Illinois,2002,67483,15
Indiana,2002,59336,17
Iowa,2002,51210,14
Kansas,2002,50160,14
Kentucky,2002,51289,15
Louisiana,2002,48522,14
Maine,2002,50157,12
Maryland,2002,65362,15
Massachusetts,2002,68475,13
Michigan,2002,71143,19
Minnesota,2002,56357,16
Mississippi,2002,45465,15
Missouri,2002,51085,13
Montana,2002,47043,14
Nebraska,2002,49861,13
Nevada,2002,54991,18
New Hampshire,2002,53312,14
New Jersey,2002,71268,12
New Mexico,2002,48270,15
New York,2002,69207,13
North Carolina,2002,56676,15
North Dakota,2002,43695,13
Ohio,2002,59803,14
Oklahoma,2002,45858,15
Oregon,2002,62629,20
Pennsylvania,2002,68155,15
Rhode Island,2002,67202,14
South Carolina,2002,54312,14
South Dakota,2002,42651,14
Tennessee,2002,52204,15
Texas,2002,52631,14
Utah,2002,50541,21
Vermont,2002,54738,11
Virginia,2002,56776,12
Washington,2002,59141,19
West Virginia,2002,50666,14
Wisconsin,2002,56407,14
Wyoming,2002,49835,13
Alabama,2003,49302,13
Alaska,2003,66554,17
Arizona,2003,53827,21
Arkansas,2003,50574,15
California,2003,72610,21
Colorado,2003,55726,16
Connecticut,2003,73759,13
Delaware,2003,63505,15
District of Columbia,2003,73337,12
Florida,2003,52234,18
Georgia,2003,59160,15
Hawaii,2003,58505,16
Idaho,2003,52846,18
Illinois,2003,69762,16
Indiana,2003,58906,17
Iowa,2003,50726,14
Kansas,2003,49685,14
Kentucky,2003,51765,15
Louisiana,2003,48778,14
Maine,2003,51282,11
Maryland,2003,64656,15
Massachusetts,2003,68413,13
Michigan,2003,69996,17
Minnesota,2003,58371,16
Mississippi,2003,45904,15
Missouri,2003,48891,14
Montana,2003,47834,14
Nebraska,2003,49337,13
Nevada,2003,54356,19
New Hampshire,2003,54916,14
New Jersey,2003,71514,12
New Mexico,2003,48970,15
New York,2003,70986,12
North Carolina,2003,55587,15
North Dakota,2003,45592,13
Ohio,2003,61081,15
Oklahoma,2003,45103,15
Oregon,2003,63252,21
Pennsylvania,2003,66681,15
Rhode Island,2003,67229,13
South Carolina,2003,52951,15
South Dakota,2003,42755,13
Tennessee,2003,51866,15
Texas,2003,52069,14
Utah,2003,50139,21
Vermont,2003,54038,11
Virginia,2003,56158,13
Washington,2003,58447,19
West Virginia,2003,49477,14
Wisconsin,2003,55164,15
Wyoming,2003,50854,13
Alabama,2004,47849,14
Alaska,2004,65690,17
Arizona,2004,53762,21
Arkansas,2004,50742,15
California,2004,72521,20
Colorado,2004,55070,16
Connecticut,2004,72347,15
Delaware,2004,63398,15
District of Columbia,2004,73248,12
Florida,2004,52114,17
Georgia,2004,58299,14
Hawaii,2004,57827,16
Idaho,2004,52781,18
Illinois,2004,69445,15
Indiana,2004,58371,17
Iowa,2004,49225,14
Kansas,2004,49301,14
Kentucky,2004,50776,15
Louisiana,2004,48896,14
Maine,2004,49633,12
Maryland,2004,65573,15
Massachusetts,2004,68515,13
Michigan,2004,71390,17
Minnesota,2004,58775,16
Mississippi,2004,45849,15
Missouri,2004,48953,14
Montana,2004,48223,14
Nebraska,2004,49440,13
Nevada,2004,54375,19
New Hampshire,2004,55060,13
New Jersey,2004,71025,11
New Mexico,2004,49359,15
New York,2004,70421,12
North Carolina,2004,54317,15
North Dakota,2004,45980,12
Ohio,2004,61013,15
Oklahoma,2004,47464,15
Oregon,2004,60560,20
Pennsylvania,2004,66735,15
Rhode Island,2004,67004,13
South Carolina,2004,52865,15
South Dakota,2004,42654,13
Tennessee,2004,52723,15
Texas,2004,51389,14
Utah,2004,49440,22
Vermont,2004,55804,11
Virginia,2004,53590,13
Washington,2004,57287,19
West Virginia,2004,48067,14
Wisconsin,2004,55509,14
Wyoming,2004,50745,13
Alabama,2005,48900,13
Alaska,2005,64905,17
Arizona,2005,54142,21
Arkansas,2005,51016,14
California,2005,71925,20
Colorado,2005,55286,17
Connecticut,2005,72112,14
Delaware,2005,65767,15
District of Columbia,2005,74167,12
Florida,2005,52481,17
Georgia,2005,58539,14
Hawaii,2005,62537,16
Idaho,2005,52588,18
Illinois,2005,70076,15
Indiana,2005,57272,17
Iowa,2005,49542,14
Kansas,2005,50138,13
Kentucky,2005,50786,15
Louisiana,2005,48786,14
Maine,2005,49372,12
Maryland,2005,66036,15
Massachusetts,2005,68582,13
Michigan,2005,70879,17
Minnesota,2005,58768,16
Mississippi,2005,45963,15
Missouri,2005,48385,13
Montana,2005,48276,14
Nebraska,2005,49723,13
Nevada,2005,53843,19
New Hampshire,2005,54858,13
New Jersey,2005,69940,12
New Mexico,2005,50463,15
New York,2005,69512,12
North Carolina,2005,53233,15
North Dakota,2005,45780,12
Ohio,2005,60980,15
Oklahoma,2005,46991,14
Oregon,2005,59364,19
Pennsylvania,2005,65480,15
Rhode Island,2005,66332,11
South Carolina,2005,52409,14
South Dakota,2005,42067,13
Tennessee,2005,51554,16
Texas,2005,50593,14
Utah,2005,48862,22
Vermont,2005,56505,10
Virginia,2005,53113,11
Washington,2005,56146,19
West Virginia,2005,46400,14
Wisconsin,2005,56224,14
Wyoming,2005,52388,13
Alabama,2006,50943,13
Alaska,2006,64174,17
Arizona,2006,53940,20
Arkansas,2006,51948,13
California,2006,74720,20
Colorado,2006,53813,16
Connecticut,2006,71412,14
Delaware,2006,64200,15
District of Columbia,2006,69272,12
Florida,2006,53196,16
Georgia,2006,58594,14
Hawaii,2006,60962,16
Idaho,2006,50249,18
Illinois,2006,68387,14
Indiana,2006,56159,17
Iowa,2006,50639,13
Kansas,2006,50879,13
Kentucky,2006,51245,15
Louisiana,2006,50271,14
Maine,2006,48838,11
Maryland,2006,66838,14
Massachusetts,2006,68831,13
Michigan,2006,64453,17
Minnesota,2006,58276,16
Mississippi,2006,47178,15
Missouri,2006,49123,13
Montana,2006,48403,14
Nebraska,2006,49364,13
Nevada,2006,53236,18
New Hampshire,2006,54628,13
New Jersey,2006,70353,12
New Mexico,2006,50228,15
New York,2006,68729,12
North Carolina,2006,54490,13
North Dakota,2006,45581,12
Ohio,2006,60980,16
Oklahoma,2006,49757,14
Oregon,2006,59775,19
Pennsylvania,2006,64541,15
Rhode Island,2006,65698,13
South Carolina,2006,51817,14
South Dakota,2006,41538,13
Tennessee,2006,51445,15
Texas,2006,52714,14
Utah,2006,47629,22
Vermont,2006,56792,10
Virginia,2006,52514,15
Washington,2006,56219,19
West Virginia,2006,47588,14
Wisconsin,2006,56241,14
Wyoming,2006,59518,13
Alabama,2007,53214,15
Alaska,2007,64808,17
Arizona,2007,52264,20
Arkansas,2007,52265,14
California,2007,73561,21
Colorado,2007,53949,16
Connecticut,2007,70766,14
Delaware,2007,63935,15
District of Columbia,2007,69226,10
Florida,2007,53586,14
Georgia,2007,58872,14
Hawaii,2007,60973,16
Idaho,2007,50353,18
Illinois,2007,69051,15
Indiana,2007,55388,17
Iowa,2007,53282,13
Kansas,2007,51537,13
Kentucky,2007,53902,15
Louisiana,2007,53625,13
Maine,2007,49552,12
Maryland,2007,68588,14
Massachusetts,2007,69047,13
Michigan,2007,64052,17
Minnesota,2007,57756,16
Mississippi,2007,48417,14
Missouri,2007,49334,13
Montana,2007,48955,14
Nebraska,2007,48967,13
Nevada,2007,54476,18
New Hampshire,2007,54361,13
New Jersey,2007,69968,12
New Mexico,2007,51510,15
New York,2007,71172,12
North Carolina,2007,54070,14
North Dakota,2007,45992,12
Ohio,2007,60985,16
Oklahoma,2007,49728,13
Oregon,2007,59159,19
Pennsylvania,2007,63751,13
Rhode Island,2007,65276,13
South Carolina,2007,52248,15
South Dakota,2007,41875,13
Tennessee,2007,51416,14
Texas,2007,52728,14
Utah,2007,47517,23
Vermont,2007,53201,10
Virginia,2007,53433,17
Washington,2007,56959,19
West Virginia,2007,48561,13
Wisconsin,2007,56008,14
Wyoming,2007,60601,12
Alabama,2008,51539,15
Alaska,2008,64199,16
Arizona,2008,50966,20
Arkansas,2008,52191,13
California,2008,74861,21
Colorado,2008,53306,16
Connecticut,2008,69429,11
Delaware,2008,62299,15
District of Columbia,2008,68775,12
Florida,2008,51585,14
Georgia,2008,58135,14
Hawaii,2008,61273,16
Idaho,2008,49669,18
Illinois,2008,67441,15
Indiana,2008,54496,17
Iowa,2008,53472,13
Kansas,2008,51013,13
Kentucky,2008,52634,15
Louisiana,2008,53460,13
Maine,2008,49177,12
Maryland,2008,69096,14
Massachusetts,2008,73343,13
Michigan,2008,63025,17
Minnesota,2008,57100,15
Mississippi,2008,48921,14
Missouri,2008,48647,13
Montana,2008,48842,13
Nebraska,2008,49426,13
Nevada,2008,55043,20
New Hampshire,2008,54829,12
New Jersey,2008,69384,11
New Mexico,2008,50300,14
New York,2008,75988,12
North Carolina,2008,53483,13
North Dakota,2008,45794,11
Ohio,2008,60089,16
Oklahoma,2008,48204,13
Oregon,2008,59461,19
Pennsylvania,2008,62926,14
Rhode Island,2008,64212,13
South Carolina,2008,52134,14
South Dakota,2008,38556,13
Tennessee,2008,50076,15
Texas,2008,51844,14
Utah,2008,46543,23
Vermont,2008,52643,10
Virginia,2008,53172,17
Washington,2008,57792,19
West Virginia,2008,49144,13
Wisconsin,2008,56202,14
Wyoming,2008,60029,12
Alabama,2009,52494,16
Alaska,2009,65848,16
Arizona,2009,51811,21
Arkansas,2009,51533,13
California,2009,75262,20
Colorado,2009,54294,16
Connecticut,2009,71010,13
Delaware,2009,62988,15
District of Columbia,2009,71228,10
Florida,2009,51542,14
Georgia,2009,58609,14
Hawaii,2009,60762,16
Idaho,2009,51073,18
Illinois,2009,68502,15
Indiana,2009,55159,17
Iowa,2009,54762,13
Kansas,2009,51486,13
Kentucky,2009,54671,16
Louisiana,2009,53964,13
Maine,2009,50878,11
Maryland,2009,70592,14
Massachusetts,2009,76443,13
Michigan,2009,63956,17
Minnesota,2009,57857,16
Mississippi,2009,50368,15
Missouri,2009,50007,13
Montana,2009,50495,13
Nebraska,2009,51011,13
Nevada,2009,56857,19
New Hampshire,2009,56767,13
New Jersey,2009,71871,11
New Mexico,2009,51046,14
New York,2009,79047,12
North Carolina,2009,51699,14
North Dakota,2009,47411,11
Ohio,2009,61749,16
Oklahoma,2009,52627,14
Oregon,2009,60939,20
Pennsylvania,2009,65278,13
Rhode Island,2009,65863,13
South Carolina,2009,52425,15
South Dakota,2009,42856,13
Tennessee,2009,51081,15
Texas,2009,53256,14
Utah,2009,50634,22
Vermont,2009,54164,10
Virginia,2009,55191,17
Washington,2009,58489,19
West Virginia,2009,50716,13
Wisconsin,2009,56570,14
Wyoming,2009,61642,12
Alabama,2010,52400,15
Alaska,2010,66303,16
Arizona,2010,51608,21
Arkansas,2010,51768,14
California,2010,75355,24
Colorado,2010,54197,17
Connecticut,2010,71163,13
Delaware,2010,62875,14
District of Columbia,2010,72281,10
Florida,2010,50685,15
Georgia,2010,58503,15
Hawaii,2010,59759,16
Idaho,2010,51460,17
Illinois,2010,68378,15
Indiana,2010,54706,18
Iowa,2010,54952,14
Kansas,2010,51095,13
Kentucky,2010,54305,15
Louisiana,2010,53867,14
Maine,2010,51206,12
Maryland,2010,70666,14
Massachusetts,2010,77073,13
Michigan,2010,63592,18
Minnesota,2010,57753,16
Mississippi,2010,50811,15
Missouri,2010,50369,13
Montana,2010,51152,14
Nebraska,2010,51574,13
Nevada,2010,57545,20
New Hampshire,2010,57294,12
New Jersey,2010,72698,12
New Mexico,2010,50954,15
New York,2010,78909,13
North Carolina,2010,50845,15
North Dakota,2010,48041,11
Ohio,2010,62177,16
Oklahoma,2010,53221,15
