State,Year,Average Teacher Salary,Students per Teacher
Arkansas,1974,36936,22
California,1974,61119,22
Colorado,1974,46663,22
Connecticut,1974,50403,19
Delaware,1974,51272,21
District of Columbia,1974,61292,19
Florida,1974,43922,22
Georgia,1974,43273,23
Hawaii,1974,58426,23
Idaho,1974,39461,22
Illinois,1974,56208,20
Indiana,1974,47758,24
Iowa,1974,45492,19
Kansas,1974,39845,18
Kentucky,1974,38174,22
Louisiana,1974,41843,20
Maine,1974,41867,21
Maryland,1974,53908,21
Massachusetts,1974,54369,18
Michigan,1974,59185,24
Minnesota,1974,50341,20
Mississippi,1974,34300,22
Missouri,1974,42654,21
Montana,1974,42668,19
Nebraska,1974,39552,18
Nevada,1974,52204,24
New Hampshire,1974,42688,18
New Jersey,1974,53774,18
New Mexico,1974,42716,22
New York,1974,62762,18
North Carolina,1974,46922,23
North Dakota,1974,39447,18
Ohio,1974,45813,22
Oklahoma,1974,38179,21
Oregon,1974,46149,21
Pennsylvania,1974,49606,20
Rhode Island,1974,52818,19
South Carolina,1974,40412,23
South Dakota,1974,37181,19
Tennessee,1974,42337,22
Texas,1974,41790,21
Utah,1974,42918,25
Vermont,1974,41324,17
Virginia,1974,45559,21
Washington,1974,53005,23
West Virginia,1974,38880,21
Wisconsin,1974,48814,20
Wyoming,1974,44051,17
Alabama,1975,42536,21
Alaska,1975,78208,20
Arizona,1975,47701,21
Arkansas,1975,38866,21
California,1975,61916,22
Colorado,1975,48735,20
Connecticut,1975,51920,18
Delaware,1975,50789,20
District of Columbia,1975,63517,20
Florida,1975,42540,21
Georgia,1975,43886,23
Hawaii,1975,61608,22
Idaho,1975,41365,22
Illinois,1975,57081,20
Indiana,1975,48453,22
Iowa,1975,49144,18
Kansas,1975,44005,18
Kentucky,1975,39632,22
Louisiana,1975,43169,21
Maine,1975,43020,20
Maryland,1975,55501,21
Massachusetts,1975,54762,19
Michigan,1975,59149,23
Minnesota,1975,51550,20
Mississippi,1975,37573,21
Missouri,1975,43754,20
Montana,1975,44735,19
Nebraska,1975,42162,18
Nevada,1975,51718,24
New Hampshire,1975,41519,20
New Jersey,1975,55114,18
New Mexico,1975,43772,21
New York,1975,66087,19
North Carolina,1975,45611,23
North Dakota,1975,41783,17
Ohio,1975,46812,22
Oklahoma,1975,39297,20
Oregon,1975,49755,20
Pennsylvania,1975,51093,19
Rhode Island,1975,52664,19
South Carolina,1975,40164,22
South Dakota,1975,38110,19
Tennessee,1975,41832,22
Texas,1975,45844,20
Utah,1975,45285,25
Vermont,1975,40917,16
Virginia,1975,45783,19
Washington,1975,55440,23
West Virginia,1975,42272,21
Wisconsin,1975,50028,19
Wyoming,1975,48831,17
Alabama,1976,41562,20
Alaska,1976,82658,20
Arizona,1976,51109,21
Arkansas,1976,38529,21
California,1976,64591,21
Colorado,1976,52261,19
Connecticut,1976,54071,17
Delaware,1976,52066,20
District of Columbia,1976,67553,21
Florida,1976,48080,21
Georgia,1976,44220,24
Hawaii,1976,66388,22
Idaho,1976,43434,22
Illinois,1976,58023,20
Indiana,1976,50576,22
Iowa,1976,49615,18
Kansas,1976,44653,18
Kentucky,1976,43247,21
Louisiana,1976,43064,21
Maine,1976,44004,19
Maryland,1976,58177,20
Massachusetts,1976,56654,19
Michigan,1976,61459,23
Minnesota,1976,55273,19
Mississippi,1976,37206,21
Missouri,1976,45322,20
Montana,1976,46475,18
Nebraska,1976,44224,17
Nevada,1976,53330,24
New Hampshire,1976,41545,18
New Jersey,1976,57474,18
New Mexico,1976,46924,22
New York,1976,67886,19
North Carolina,1976,47078,23
North Dakota,1976,42290,17
Ohio,1976,49528,21
Oklahoma,1976,41674,20
Oregon,1976,51637,20
Pennsylvania,1976,53168,19
Rhode Island,1976,55851,19
South Carolina,1976,41566,20
South Dakota,1976,40310,18
Tennessee,1976,44174,21
Texas,1976,45776,20
Utah,1976,48168,25
Vermont,1976,42768,17
Virginia,1976,47689,18
Washington,1976,59067,23
West Virginia,1976,45239,20
Wisconsin,1976,52419,19
Wyoming,1976,51787,18
Alabama,1977,43059,20
Alaska,1977,83200,18
Arizona,1977,50250,21
Arkansas,1977,38380,20
California,1977,63296,21
Colorado,1977,51742,19
Connecticut,1977,52777,17
Delaware,1977,50719,20
District of Columbia,1977,67307,20
Florida,1977,47172,22
Georgia,1977,44703,21
Hawaii,1977,65413,22
Idaho,1977,43282,21
Illinois,1977,58784,20
Indiana,1977,49488,22
Iowa,1977,49238,18
Kansas,1977,44414,17
Kentucky,1977,43270,21
Louisiana,1977,46055,21
Maine,1977,43329,18
Maryland,1977,58355,20
Massachusetts,1977,56105,17
Michigan,1977,60679,23
Minnesota,1977,52289,19
Mississippi,1977,38505,20
Missouri,1977,44860,19
Montana,1977,46758,17
Nebraska,1977,43750,17
Nevada,1977,52738,22
New Hampshire,1977,40969,18
New Jersey,1977,56726,18
New Mexico,1977,47391,20
New York,1977,65815,18
North Carolina,1977,47133,22
North Dakota,1977,41700,17
Ohio,1977,49113,21
Oklahoma,1977,42516,19
