State,Year,Teachers,Students
Illinois,1974,112749,2296241
Indiana,1974,49302,1186800
Iowa,1974,32715,617485
Kansas,1974,25573,471460
Kentucky,1974,31755,701373
Louisiana,1974,42132,840742
Maine,1974,12017,250643
Maryland,1974,42802,894209
Massachusetts,1974,67220,1210100
Michigan,1974,90481,2137612
Minnesota,1974,43817,889535
Mississippi,1974,23580,513476
Missouri,1974,47391,1001705
Montana,1974,9015,172158
Nebraska,1974,17367,318792
Nevada,1974,5616,137051
New Hampshire,1974,9360,172117
New Jersey,1974,80448,1466956
New Mexico,1974,12651,282382
New York,1974,188961,3434116
North Carolina,1974,51221,1177860
North Dakota,1974,7577,133241
Ohio,1974,104512,2330150
Oklahoma,1974,28986,596380
Oregon,1974,22300,476583
Pennsylvania,1974,115668,2277451
Rhode Island,1974,9329,178662
South Carolina,1974,27804,627205
South Dakota,1974,8118,153592
Tennessee,1974,39278,872819
Texas,1974,133759,2785296
Utah,1974,12468,306388
Vermont,1974,6224,105376
Virginia,1974,53280,1093309
Washington,1974,33584,785457
West Virginia,1974,18992,404441
Wisconsin,1974,48541,974333
Wyoming,1974,4985,86584
Alabama,1975,36675,759346
Alaska,1975,4577,89295
Arizona,1975,22978,492995
Arkansas,1975,21256,456703
California,1975,205000,4419571
Colorado,1975,28451,568851
Connecticut,1975,35673,652449
Delaware,1975,6335,127476
District of Columbia,1975,6642,129969
Florida,1975,72836,1551373
Georgia,1975,47382,1090292
Hawaii,1975,7860,176430
Idaho,1975,9009,196616
Illinois,1975,113589,2269892
Indiana,1975,53088,1173863
Iowa,1975,33100,612111
Kansas,1975,25668,465355
Kentucky,1975,31962,691612
Louisiana,1975,41054,847202
Maine,1975,12304,250931
Maryland,1975,42378,880927
Massachusetts,1975,64100,1198410
Michigan,1975,89847,2073288
Minnesota,1975,44779,879944
Mississippi,1975,23881,512407
Missouri,1975,49283,965360
Montana,1975,9052,171788
Nebraska,1975,17707,315669
Nevada,1975,5750,139745
New Hampshire,1975,8775,174597
New Jersey,1975,80410,1458000
New Mexico,1975,12883,274612
New York,1975,180880,3417453
North Carolina,1975,52379,1184996
North Dakota,1975,7594,131331
Ohio,1975,105875,2292647
Oklahoma,1975,29762,594816
Oregon,1975,23808,477559
Pennsylvania,1975,116255,2246147
Rhode Island,1975,9196,176317
South Carolina,1975,28695,629729
South Dakota,1975,8083,151217
Tennessee,1975,39855,876926
Texas,1975,143390,2812888
