State,Year,Income per Capita,Expenditures per Student
Washington,1988,35057,8121
West Virginia,1988,25299,7163
Wisconsin,1988,32418,9524
Wyoming,1988,29639,10065
Alabama,1989,28551,6001
Alaska,1989,41648,14464
Arizona,1989,31863,7096
Arkansas,1989,26642,6164
California,1989,39264,8595
Colorado,1989,35656,8317
Connecticut,1989,49134,14245
Delaware,1989,39773,10167
District of Columbia,1989,45758,15026
Florida,1989,36860,8775
Georgia,1989,32193,7635
Hawaii,1989,39857,7884
Idaho,1989,28631,5576
Illinois,1989,37933,8630
Indiana,1989,32168,8151
Iowa,1989,32038,7998
Kansas,1989,33176,8189
Kentucky,1989,28089,6459
Louisiana,1989,26770,6919
Maine,1989,32560,9360
Maryland,1989,42182,10639
Massachusetts,1989,42822,11007
Michigan,1989,34774,9716
Minnesota,1989,35917,8968
Mississippi,1989,24212,5600
Missouri,1989,32873,7770
Montana,1989,28184,8093
Nebraska,1989,33031,8691
Nevada,1989,37391,7284
New Hampshire,1989,39617,9135
New Jersey,1989,45380,14404
New Mexico,1989,27346,6578
New York,1989,42906,13459
North Carolina,1989,31685,7671
North Dakota,1989,28058,7443
Ohio,1989,33755,8649
Oklahoma,1989,29278,6286
Oregon,1989,32699,9286
Pennsylvania,1989,35453,10952
Rhode Island,1989,37756,11278
South Carolina,1989,28816,7195
South Dakota,1989,28776,6702
Tennessee,1989,30292,6499
Texas,1989,31117,7320
Utah,1989,26507,4919
Vermont,1989,33701,11015
Virginia,1989,38464,8952
Washington,1989,36173,8366
West Virginia,1989,25898,7673
Wisconsin,1989,33506,9582
Wyoming,1989,31414,10001
Alabama,1990,28699,6210
Alaska,1990,41646,13586
Arizona,1990,31300,6990
Arkansas,1990,26544,6268
California,1990,39169,8322
Colorado,1990,35646,8335
Connecticut,1990,47909,13668
Delaware,1990,39152,9885
District of Columbia,1990,46451,14541
Florida,1990,36387,8800
Georgia,1990,32283,7555
Hawaii,1990,40724,8729
Idaho,1990,29051,5806
Illinois,1990,38133,8882
Indiana,1990,32091,8309
Iowa,1990,31981,8000
Kansas,1990,33375,8031
Kentucky,1990,28227,7058
Louisiana,1990,27565,6978
Maine,1990,31925,9015
Maryland,1990,41927,10739
Massachusetts,1990,41831,10651
Michigan,1990,34364,9768
Minnesota,1990,35954,8957
Mississippi,1990,24116,5445
Missouri,1990,32462,7735
Montana,1990,28150,8523
Nebraska,1990,33500,8574
Nevada,1990,37662,7776
New Hampshire,1990,37588,9330
New Jersey,1990,45093,14788
New Mexico,1990,27527,6804
New York,1990,43512,13601
North Carolina,1990,31597,7674
North Dakota,1990,29157,7079
Ohio,1990,33853,8597
Oklahoma,1990,29326,6591
Oregon,1990,32908,9408
Pennsylvania,1990,35536,10953
Rhode Island,1990,36641,10746
South Carolina,1990,29103,7261
South Dakota,1990,29920,6748
Tennessee,1990,30411,6376
Texas,1990,31566,7332
Utah,1990,27038,5011
Vermont,1990,32855,11328
Virginia,1990,37905,8992
Washington,1990,36780,8425
West Virginia,1990,26356,8278
Wisconsin,1990,33359,9746
Wyoming,1990,32557,9616
Alabama,1991,28720,5935
Alaska,1991,40286,13646
Arizona,1991,30736,6877
Arkansas,1991,26687,6564
California,1991,37985,8064
Colorado,1991,35446,8071
Connecticut,1991,46283,13242
Delaware,1991,38903,9730
District of Columbia,1991,47648,14603
Florida,1991,35329,8378
Georgia,1991,31769,7167
Hawaii,1991,40488,8797
Idaho,1991,28395,5856
Illinois,1991,37043,8693
Indiana,1991,31355,8253
Iowa,1991,31244,8334
Kansas,1991,32938,7915
Kentucky,1991,28352,7289
Louisiana,1991,27730,6977
Maine,1991,30926,9006
Maryland,1991,41052,10298
Massachusetts,1991,40908,10343
Michigan,1991,33314,9986
Minnesota,1991,35138,8844
Mississippi,1991,24167,5296
Missouri,1991,32321,7446
Montana,1991,28500,8386
Nebraska,1991,33115,8587
Nevada,1991,37158,7900
New Hampshire,1991,37332,9101
New Jersey,1991,43744,15128
New Mexico,1991,27698,6825
New York,1991,41687,13002
North Carolina,1991,31124,7378
North Dakota,1991,28510,7213
Ohio,1991,32919,8890
Oklahoma,1991,28781,6703
Oregon,1991,32352,9156
Pennsylvania,1991,35321,10648
Rhode Island,1991,35357,10587
South Carolina,1991,28533,7104
South Dakota,1991,29695,6844
Tennessee,1991,30224,5962
Texas,1991,31049,7379
Utah,1991,27080,4937
Vermont,1991,31812,10849
Virginia,1991,37333,8540
Washington,1991,36662,8514
West Virginia,1991,26277,8162
Wisconsin,1991,32844,9806
Wyoming,1991,32502,9294
Alabama,1992,29671,6088
Alaska,1992,40489,13593
Arizona,1992,30955,6977
Arkansas,1992,27986,6563
California,1992,38312,8028
Colorado,1992,36426,8172
Connecticut,1992,48550,13352
Delaware,1992,38921,9749
District of Columbia,1992,49618,15748
Florida,1992,35770,8359
Georgia,1992,32755,7390
Hawaii,1992,41690,9641
Idaho,1992,29531,5922
Illinois,1992,38635,9608
Indiana,1992,32715,8556
Iowa,1992,32391,8742
Kansas,1992,34061,8529
Kentucky,1992,29342,7575
Louisiana,1992,28657,7215
Maine,1992,31414,9689
Maryland,1992,41476,10646
Massachusetts,1992,41801,10588
Michigan,1992,34044,10555
Minnesota,1992,36330,8861
Mississippi,1992,25123,5539
Missouri,1992,33249,7525
Montana,1992,28919,8359
Nebraska,1992,33944,8639
Nevada,1992,38658,7901
New Hampshire,1992,37813,9146
New Jersey,1992,45407,15875
New Mexico,1992,28294,7082
New York,1992,42663,14019
North Carolina,1992,32532,7643
North Dakota,1992,30280,7302
Ohio,1992,33853,8711
Oklahoma,1992,29415,6978
Oregon,1992,32979,9487
Pennsylvania,1992,36087,10996
Rhode Island,1992,36055,11300
South Carolina,1992,29180,7165
South Dakota,1992,30908,7046
Tennessee,1992,31692,6395
Texas,1992,32031,7441
Utah,1992,27704,5143
Vermont,1992,32883,10809
Virginia,1992,38010,8800
Washington,1992,37497,8857
West Virginia,1992,27380,8866
Wisconsin,1992,34100,10331
Wyoming,1992,33006,9215
Alabama,1993,29749,6339
Alaska,1993,40703,13334
Arizona,1993,31338,6795
Arkansas,1993,28176,6630
California,1993,37761,7971
Colorado,1993,37227,7861
Connecticut,1993,48804,13459
Delaware,1993,38739,10047
District of Columbia,1993,50883,16286
Florida,1993,36327,8437
Georgia,1993,33120,7518
Hawaii,1993,41553,9095
Idaho,1993,30458,6011
Illinois,1993,38512,9366
Indiana,1993,33187,8712
Iowa,1993,31428,8691
Kansas,1993,34311,8427
Kentucky,1993,29316,7710
Louisiana,1993,29115,7242
Maine,1993,31425,9310
Maryland,1993,41567,10560
Massachusetts,1993,42085,10768
Michigan,1993,34602,10514
Minnesota,1993,35931,8823
Mississippi,1993,25736,5790
Missouri,1993,33493,7731
Montana,1993,29739,8331
Nebraska,1993,33831,8809
Nevada,1993,39105,7704
New Hampshire,1993,37628,8992
New Jersey,1993,45174,16082
New Mexico,1993,28913,6946
New York,1993,42405,14128
North Carolina,1993,33136,7635
North Dakota,1993,29708,7220
Ohio,1993,34055,8818
Oklahoma,1993,29470,7355
Oregon,1993,33628,9104
Pennsylvania,1993,36237,10780
Rhode Island,1993,36607,11416
South Carolina,1993,29502,7183
South Dakota,1993,31053,6842
Tennessee,1993,32298,6449
Texas,1993,32275,7605
Utah,1993,28203,5399
Vermont,1993,32910,10527
Virginia,1993,38331,8802
Washington,1993,37467,8799
West Virginia,1993,27405,8926
Wisconsin,1993,34478,10244
Wyoming,1993,33444,9065
Alabama,1994,30421,6644
Alaska,1994,40742,13098
Arizona,1994,32279,6887
Arkansas,1994,28848,6755
California,1994,37778,7906
Colorado,1994,38110,8205
Connecticut,1994,48891,13716
Delaware,1994,38770,10445
District of Columbia,1994,51769,14975
Florida,1994,36639,8531
Georgia,1994,34052,7791
Hawaii,1994,40969,8974
Idaho,1994,30814,6359
Illinois,1994,39289,9530
Indiana,1994,34130,8751
Iowa,1994,33293,8712
Kansas,1994,34689,8451
Kentucky,1994,29800,7604
Louisiana,1994,30102,7293
Maine,1994,31937,9782
Maryland,1994,42023,10694
Massachusetts,1994,42927,11086
Michigan,1994,36069,10823
Minnesota,1994,37214,9075
Mississippi,1994,26869,6292
Missouri,1994,34310,8003
Montana,1994,29258,8262
Nebraska,1994,34850,8998
Nevada,1994,40033,7620
New Hampshire,1994,38853,8977
New Jersey,1994,45361,15849
New Mexico,1994,29417,7319
New York,1994,42632,14194
North Carolina,1994,33847,7722
North Dakota,1994,31303,7197
Ohio,1994,34904,8939
Oklahoma,1994,29861,7326
Oregon,1994,34542,9078
Pennsylvania,1994,36474,10685
Rhode Island,1994,36752,11662
South Carolina,1994,30249,7279
South Dakota,1994,32299,6940
Tennessee,1994,32985,6628
Texas,1994,32649,7909
Utah,1994,28985,5600
Vermont,1994,33429,10410
Virginia,1994,38870,8915
Washington,1994,37797,8805
West Virginia,1994,27821,9219
Wisconsin,1994,35412,10285
Wyoming,1994,33686,9189
Alabama,1995,31066,6830
Alaska,1995,40632,12964
Arizona,1995,32893,7030
Arkansas,1995,29462,6908
California,1995,38420,7909
Colorado,1995,39372,8099
Connecticut,1995,50142,13405
Delaware,1995,39380,10464
District of Columbia,1995,51903,14865
Florida,1995,37672,8391
Georgia,1995,35017,7991
Hawaii,1995,40474,8667
Idaho,1995,31375,6559
Illinois,1995,40284,9225
Indiana,1995,34404,8827
Iowa,1995,33587,8828
Kansas,1995,34892,8471
Kentucky,1995,30105,7834
Louisiana,1995,30541,7247
Maine,1995,32453,9679
Maryland,1995,42297,10667
Massachusetts,1995,43932,11185
Michigan,1995,36796,11081
Minnesota,1995,37964,9101
Mississippi,1995,27304,6370
Missouri,1995,34773,8139
Montana,1995,29535,8200
Nebraska,1995,35517,8954
Nevada,1995,40779,7666
New Hampshire,1995,39702,9004
New Jersey,1995,46646,15730
New Mexico,1995,30198,7430
New York,1995,43754,13883
North Carolina,1995,34665,7534
North Dakota,1995,30426,7298
Ohio,1995,35395,8939
Oklahoma,1995,30122,7154
Oregon,1995,35531,9044
Pennsylvania,1995,37088,10946
Rhode Island,1995,37836,11623
South Carolina,1995,30853,7517
South Dakota,1995,31819,6695
Tennessee,1995,33918,6684
Texas,1995,33346,8079
Utah,1995,30016,5764
Vermont,1995,34036,10315
Virginia,1995,39256,8853
Washington,1995,38161,8814
West Virginia,1995,27905,9317
Wisconsin,1995,35892,10336
Wyoming,1995,34033,9049
Alabama,1996,31276,7022
Alaska,1996,40295,12630
Arizona,1996,33651,6763
Arkansas,1996,30076,6918
California,1996,39326,8186
Colorado,1996,40440,8178
Connecticut,1996,51045,13216
Delaware,1996,40420,10822
District of Columbia,1996,53755,13637
Florida,1996,38272,8286
Georgia,1996,36022,8256
Hawaii,1996,39188,8534
Idaho,1996,31797,6755
Illinois,1996,41381,9218
Indiana,1996,35049,9394
Iowa,1996,35463,8977
Kansas,1996,35956,8453
Kentucky,1996,30824,8156
Louisiana,1996,30883,7496
Maine,1996,33213,9868
Maryland,1996,42707,10617
Massachusetts,1996,45210,11326
Michigan,1996,37309,10784
Minnesota,1996,39411,9155
Mississippi,1996,27941,6310
Missouri,1996,35490,8235
Montana,1996,29751,8319
Nebraska,1996,37287,8948
Nevada,1996,41870,7739
New Hampshire,1996,40305,9039
New Jersey,1996,47670,15643
New Mexico,1996,30383,7356
New York,1996,44736,13760
North Carolina,1996,35452,7490
North Dakota,1996,32993,7290
Ohio,1996,35920,9097
Oklahoma,1996,30750,7348
Oregon,1996,36602,8983
Pennsylvania,1996,37904,10909
Rhode Island,1996,38124,11787
South Carolina,1996,31528,7718
South Dakota,1996,34043,6721
Tennessee,1996,34315,7114
Texas,1996,34220,8232
Utah,1996,31023,5882
Vermont,1996,34619,10447
Virginia,1996,39640,9004
Washington,1996,39296,8698
West Virginia,1996,28227,9338
Wisconsin,1996,36618,10488
Wyoming,1996,34393,9009
Alabama,1997,31980,7247
Alaska,1997,41270,12402
Arizona,1997,34774,6861
Arkansas,1997,30575,7011
California,1997,40335,8576
Colorado,1997,41680,8514
Connecticut,1997,53198,13412
Delaware,1997,40827,10999
District of Columbia,1997,56326,13965
Florida,1997,38932,8386
Georgia,1997,36729,8510
Hawaii,1997,39398,8672
Idaho,1997,31842,7023
Illinois,1997,42497,9493
Indiana,1997,35818,9413
Iowa,1997,36201,9193
Kansas,1997,37087,8608
Kentucky,1997,31775,8073
Louisiana,1997,31678,7998
Maine,1997,34144,10096
Maryland,1997,43778,10809
Massachusetts,1997,46750,11757
Michigan,1997,38226,11130
Minnesota,1997,40344,9520
Mississippi,1997,28621,6550
Missouri,1997,36587,8452
Montana,1997,30247,8485
Nebraska,1997,37316,8924
Nevada,1997,42666,7876
New Hampshire,1997,41876,9186
New Jersey,1997,49380,15481
New Mexico,1997,30880,7474
New York,1997,46199,13969
North Carolina,1997,36649,7805
North Dakota,1997,31743,7501
Ohio,1997,37110,9285
Oklahoma,1997,31495,7492
Oregon,1997,37453,9524
Pennsylvania,1997,38990,10825
Rhode Island,1997,39500,12006
South Carolina,1997,32356,7950
South Dakota,1997,33971,6967
Tennessee,1997,35102,7506
Texas,1997,35788,8319
Utah,1997,32109,6037
Vermont,1997,35523,10704
Virginia,1997,40885,9233
Washington,1997,40740,8968
West Virginia,1997,28804,9505
Wisconsin,1997,37775,10744
Wyoming,1997,36006,9203
Alabama,1998,33418,7639
Alaska,1998,42056,12388
Arizona,1998,36677,6902
Arkansas,1998,31793,7246
California,1998,42658,8678
Colorado,1998,44757,8780
Connecticut,1998,56065,13786
Delaware,1998,43098,11250
District of Columbia,1998,59759,15895
Florida,1998,40768,8606
Georgia,1998,38889,9046
Hawaii,1998,39360,8868
Idaho,1998,33489,7421
Illinois,1998,44099,10139
Indiana,1998,37852,9939
Iowa,1998,37311,9374
Kansas,1998,38653,8969
Kentucky,1998,32993,8536
Louisiana,1998,32546,8426
Maine,1998,35822,10581
Maryland,1998,46059,10993
Massachusetts,1998,48721,12294
Michigan,1998,39647,11576
Minnesota,1998,42923,10002
Mississippi,1998,29679,6860
Missouri,1998,37627,8756
Montana,1998,31939,8723
Nebraska,1998,39182,9230
Nevada,1998,44081,8188
New Hampshire,1998,44264,9448
New Jersey,1998,51476,16141
New Mexico,1998,31950,7971
New York,1998,47673,14554
North Carolina,1998,38245,8265
North Dakota,1998,34446,7949
Ohio,1998,38579,9735
Oklahoma,1998,32739,7953
Oregon,1998,38701,9976
Pennsylvania,1998,40531,11016
Rhode Island,1998,41553,12397
South Carolina,1998,33781,8329
South Dakota,1998,36195,7687
Tennessee,1998,37651,7672
Texas,1998,37811,8553
Utah,1998,33540,6313
Vermont,1998,37454,11241
Virginia,1998,42655,9533
Washington,1998,43336,8925
West Virginia,1998,29560,9910
Wisconsin,1998,39610,11187
Wyoming,1998,37717,9938
Alabama,1999,33838,8126
Alaska,1999,42176,12638
Arizona,1999,37304,7190
Arkansas,1999,32243,7546
California,1999,43996,9228
Colorado,1999,46462,9010
Connecticut,1999,57392,14124
Delaware,1999,43835,11882
District of Columbia,1999,61488,16206
Florida,1999,41299,8476
Georgia,1999,39776,9352
Hawaii,1999,39834,9324
Idaho,1999,34337,7618
Illinois,1999,44665,10456
Indiana,1999,38364,10320
Iowa,1999,37373,9661
Kansas,1999,39048,9216
Kentucky,1999,33495,8733
Louisiana,1999,32445,8567
Maine,1999,36589,11078
Maryland,1999,47478,11323
Massachusetts,1999,50551,12838
Michigan,1999,40485,12373
Minnesota,1999,43760,10327
Mississippi,1999,29869,7373
Missouri,1999,38135,9063
Montana,1999,32101,9019
Nebraska,1999,40000,9650
Nevada,1999,45132,8253
New Hampshire,1999,45101,9858
New Jersey,1999,52375,16029
New Mexico,1999,32109,8357
New York,1999,49008,14975
North Carolina,1999,39037,8647
North Dakota,1999,34215,8098
Ohio,1999,38972,10221
Oklahoma,1999,33132,7970
Oregon,1999,39188,10223
Pennsylvania,1999,41423,11237
Rhode Island,1999,42310,13027
South Carolina,1999,34435,8928
South Dakota,1999,37271,8082
Tennessee,1999,38132,7884
Texas,1999,38497,9254
Utah,1999,34358,6421
Vermont,1999,38626,12157
Virginia,1999,44089,9966
Washington,1999,44797,9115
West Virginia,1999,29714,10404
Wisconsin,1999,40121,11360
Wyoming,1999,39432,10555
Alabama,2000,33856,8209
Alaska,2000,43318,12784
Arizona,2000,36434,7631
Arkansas,2000,31319,7712
California,2000,45854,9876
Colorado,2000,47035,9223
Connecticut,2000,58005,14185
Delaware,2000,44118,12389
District of Columbia,2000,59421,18874
Florida,2000,40647,8678
Georgia,2000,39398,9741
Hawaii,2000,39827,9112
Idaho,2000,34716,7940
Illinois,2000,45258,10833
Indiana,2000,38646,10599
Iowa,2000,37926,9888
Kansas,2000,39552,9841
Kentucky,2000,34280,8676
Louisiana,2000,32394,8563
Maine,2000,37258,11489
Maryland,2000,48569,11709
Massachusetts,2000,52809,13343
Michigan,2000,41245,11747
Minnesota,2000,44431,10624
Mississippi,2000,29641,7358
Missouri,2000,38504,9433
Montana,2000,32447,9296
Nebraska,2000,39828,10102
Nevada,2000,42908,8044
New Hampshire,2000,47099,10147
New Jersey,2000,53821,16860
New Mexico,2000,32195,8762
New York,2000,48541,15751
North Carolina,2000,38305,8774
North Dakota,2000,35609,8473
Ohio,2000,39339,10588
Oklahoma,2000,34096,8646
Oregon,2000,39666,10413
Pennsylvania,2000,41895,11379
Rhode Island,2000,41495,13182
South Carolina,2000,34540,9355
South Dakota,2000,37478,8585
Tennessee,2000,37780,8063
Texas,2000,38954,9323
Utah,2000,34051,6661
Vermont,2000,39222,12894
Virginia,2000,44617,10111
Washington,2000,45171,9346
West Virginia,2000,30372,10600
Wisconsin,2000,40387,11644
Wyoming,2000,39794,10773
Alabama,2001,34172,8189
Alaska,2001,43940,12902
Arizona,2001,36157,7949
Arkansas,2001,31888,8447
California,2001,45522,10180
Colorado,2001,47009,9527
Connecticut,2001,58463,14415
Delaware,2001,45482,12476
District of Columbia,2001,59867,20316
Florida,2001,40834,8498
Georgia,2001,39326,10092
Hawaii,2001,39863,9820
Idaho,2001,34809,8111
Illinois,2001,45036,10963
Indiana,2001,38304,10451
Iowa,2001,37958,10025
Kansas,2001,39834,10164
Kentucky,2001,34365,9257
Louisiana,2001,33673,9027
Maine,2001,37812,12005
Maryland,2001,49191,11979
Massachusetts,2001,53036,13972
Michigan,2001,40350,11926
Minnesota,2001,44539,10459
Mississippi,2001,30442,7395
Missouri,2001,38453,9794
Montana,2001,33117,9486
Nebraska,2001,40381,10533
Nevada,2001,42537,8189
New Hampshire,2001,46911,10737
New Jersey,2001,53778,17009
New Mexico,2001,33773,9300
New York,2001,48476,15957
North Carolina,2001,38079,8743
North Dakota,2001,35631,9028
Ohio,2001,39273,10999
Oklahoma,2001,35526,8736
Oregon,2001,39178,10267
Pennsylvania,2001,42120,11469
Rhode Island,2001,42156,13069
South Carolina,2001,34556,9642
South Dakota,2001,37962,8684
Tennessee,2001,37561,8219
Texas,2001,39652,9435
Utah,2001,34239,6801
Vermont,2001,40064,13460
Virginia,2001,45095,10162
Washington,2001,44390,9484
West Virginia,2001,31181,10761
Wisconsin,2001,40713,11872
Wyoming,2001,41176,11554
Alabama,2002,34468,8399
Alaska,2002,44455,13123
Arizona,2002,35922,8380
Arkansas,2002,31935,8594
California,2002,45031,10214
Colorado,2002,45578,9985
Connecticut,2002,57029,14839
Delaware,2002,46045,12827
District of Columbia,2002,59537,18026
Florida,2002,40871,8647
Georgia,2002,38967,10472
Hawaii,2002,40647,10724
Idaho,2002,34801,8083
Illinois,2002,44780,11246
Indiana,2002,38081,10688
Iowa,2002,38460,10269
Kansas,2002,39368,10205
Kentucky,2002,34498,9289
Louisiana,2002,34001,9422
Maine,2002,38227,12539
Maryland,2002,49819,12416
Massachusetts,2002,52007,14089
Michigan,2002,39840,12035
Minnesota,2002,44591,10797
Mississippi,2002,30512,7876
Missouri,2002,38567,10001
Montana,2002,33338,9926
Nebraska,2002,40407,10831
Nevada,2002,42073,8086
New Hampshire,2002,46543,11428
New Jersey,2002,53345,17770
New Mexico,2002,34021,9479
New York,2002,47508,16808
North Carolina,2002,37569,8701
North Dakota,2002,35950,9106
Ohio,2002,39272,11536
Oklahoma,2002,35459,8450
Oregon,2002,38661,9908
Pennsylvania,2002,42301,11898
Rhode Island,2002,42967,13720
South Carolina,2002,34568,9538
South Dakota,2002,37544,8766
Tennessee,2002,37648,8331
Texas,2002,38580,9813
Utah,2002,33956,6628
Vermont,2002,40221,14172
Virginia,2002,45207,10430
Washington,2002,44113,9635
West Virginia,2002,31963,11270
Wisconsin,2002,40922,12209
Wyoming,2002,41506,12050
Alabama,2003,34989,8488
Alaska,2003,44610,13199
Arizona,2003,36072,7834
Arkansas,2003,32834,8871
California,2003,45417,10144
Colorado,2003,45059,9881
Connecticut,2003,56567,15019
Delaware,2003,45777,13209
District of Columbia,2003,60852,19082
Florida,2003,41133,8910
Georgia,2003,38703,10204
Hawaii,2003,41318,11053
Idaho,2003,34842,8019
Illinois,2003,44519,11459
Indiana,2003,38077,10924
Iowa,2003,38506,10030
Kansas,2003,39636,10385
Kentucky,2003,34399,9357
Louisiana,2003,34234,9661
Maine,2003,39017,12651
Maryland,2003,50507,12516
Massachusetts,2003,52011,14503
Michigan,2003,39935,12159
Minnesota,2003,45361,10953
Mississippi,2003,30896,8239
Missouri,2003,39016,9833
Montana,2003,34373,10135
Nebraska,2003,41976,11103
Nevada,2003,43078,8319
New Hampshire,2003,46406,11945
New Jersey,2003,53088,18400
New Mexico,2003,33999,9862
New York,2003,47521,17309
North Carolina,2003,37511,8580
North Dakota,2003,38432,9503
Ohio,2003,39387,11782
Oklahoma,2003,35731,8376
Oregon,2003,38767,9858
Pennsylvania,2003,42606,12548
Rhode Island,2003,43711,14384
South Carolina,2003,34612,9505
South Dakota,2003,39789,9250
Tennessee,2003,37926,8584
Texas,2003,38577,9630
Utah,2003,33538,6700
Vermont,2003,41053,14920
Virginia,2003,46181,10726
Washington,2003,44455,9615
West Virginia,2003,31979,11368
Wisconsin,2003,41176,12258
Wyoming,2003,43241,12281
Alabama,2004,36316,8887
Alaska,2004,44600,13774
Arizona,2004,37168,8014
Arkansas,2004,33766,9780
California,2004,46579,10179
Colorado,2004,45392,10086
Connecticut,2004,58788,15704
Delaware,2004,46810,13749
District of Columbia,2004,63422,20110
Florida,2004,42769,9208
Georgia,2004,38842,10358
Hawaii,2004,43076,11367
Idaho,2004,36308,7999
Illinois,2004,45136,11527
Indiana,2004,38735,11263
Iowa,2004,40591,10105
Kansas,2004,40124,10310
Kentucky,2004,35190,9551
Louisiana,2004,35008,9932
Maine,2004,39906,13074
Maryland,2004,52426,12918
Massachusetts,2004,53170,14945
Michigan,2004,40111,12160
Minnesota,2004,46290,11072
Mississippi,2004,31698,8470
Missouri,2004,39678,9997
Montana,2004,35382,10274
Nebraska,2004,42388,11260
Nevada,2004,45044,8600
New Hampshire,2004,47797,12425
New Jersey,2004,54115,18862
New Mexico,2004,34650,9979
New York,2004,48961,18088
North Carolina,2004,38715,8974
North Dakota,2004,37887,10488
Ohio,2004,39774,11859
Oklahoma,2004,36717,8791
Oregon,2004,39567,10148
Pennsylvania,2004,43519,12918
Rhode Island,2004,44608,14774
South Carolina,2004,35243,9750
South Dakota,2004,40663,9443
Tennessee,2004,38722,8795
Texas,2004,38903,9522
Utah,2004,33971,6656
Vermont,2004,42383,15627
Virginia,2004,47356,11307
Washington,2004,45932,9784
West Virginia,2004,32231,11639
Wisconsin,2004,41863,12624
Wyoming,2004,45221,12825
Alabama,2005,36793,9369
Alaska,2005,45124,14112
Arizona,2005,38396,7970
Arkansas,2005,33983,9966
California,2005,47266,10346
Colorado,2005,46240,10201
Connecticut,2005,59685,16203
Delaware,2005,46750,14165
District of Columbia,2005,65845,19574
Florida,2005,44088,9638
Georgia,2005,39240,10675
Hawaii,2005,44154,12075
Idaho,2005,36407,7925
Illinois,2005,45455,11439
Indiana,2005,38300,10932
Iowa,2005,40211,10271
Kansas,2005,40577,10878
Kentucky,2005,35408,9925
Louisiana,2005,36233,10665
Maine,2005,39311,13268
Maryland,2005,53171,13604
Massachusetts,2005,53653,15029
Michigan,2005,39781,12039
Minnesota,2005,45864,11260
Mississippi,2005,32578,8951
Missouri,2005,39540,10226
Montana,2005,35944,10533
Nebraska,2005,42285,11561
Nevada,2005,47215,8780
New Hampshire,2005,47505,12795
New Jersey,2005,54423,19347
New Mexico,2005,35561,10316
New York,2005,49874,18692
North Carolina,2005,39305,9027
North Dakota,2005,38954,10692
Ohio,2005,39661,11939
Oklahoma,2005,37952,8937
Oregon,2005,39416,10519
Pennsylvania,2005,43641,13091
Rhode Island,2005,44407,15451
South Carolina,2005,35701,10154
South Dakota,2005,40302,9518
Tennessee,2005,38433,8713
Texas,2005,40199,9503
Utah,2005,35060,6674
Vermont,2005,42004,16221
Virginia,2005,48370,11646
Washington,2005,45587,9798
West Virginia,2005,32308,11827
Wisconsin,2005,41686,12559
Wyoming,2005,48232,13933
Alabama,2006,37374,9912
Alaska,2006,45811,14673
Arizona,2006,39800,8714
Arkansas,2006,34710,10095
California,2006,48927,10723
Colorado,2006,47354,10039
Connecticut,2006,62227,16425
Delaware,2006,47635,13883
District of Columbia,2006,69248,21408
Florida,2006,45627,10235
Georgia,2006,39644,10951
Hawaii,2006,45669,13410
Idaho,2006,37722,7887
Illinois,2006,46906,11682
Indiana,2006,39021,10765
Iowa,2006,40834,10463
Kansas,2006,42366,11292
Kentucky,2006,36023,9919
Louisiana,2006,39538,10880
Maine,2006,40308,13837
Maryland,2006,54590,14514
Massachusetts,2006,55821,15415
Michigan,2006,39563,12048
Minnesota,2006,46617,11426
Mississippi,2006,32987,8993
Missouri,2006,40293,10388
Montana,2006,37196,10806
Nebraska,2006,42566,11821
Nevada,2006,47327,9241
New Hampshire,2006,48785,13121
New Jersey,2006,56674,20255
New Mexico,2006,36319,10578
New York,2006,52016,19419
North Carolina,2006,39920,9249
North Dakota,2006,39381,10285
Ohio,2006,40375,11866
Oklahoma,2006,39852,9280
Oregon,2006,40628,10559
Pennsylvania,2006,44871,12910
Rhode Island,2006,45724,15981
South Carolina,2006,36690,10312
South Dakota,2006,39549,9566
Tennessee,2006,38888,8608
Texas,2006,41628,9662
Utah,2006,36472,6752
Vermont,2006,43362,16758
Virginia,2006,49585,12196
Washington,2006,47103,10097
West Virginia,2006,33558,11731
Wisconsin,2006,42645,12578
Wyoming,2006,53061,15576
Alabama,2007,37708,10552
Alaska,2007,47501,16934
Arizona,2007,39694,8955
Arkansas,2007,35693,10192
California,2007,49305,11216
Colorado,2007,47774,10795
Connecticut,2007,64207,17107
Delaware,2007,47129,13942
District of Columbia,2007,71838,22240
Florida,2007,45690,10558
Georgia,2007,39805,11371
Hawaii,2007,47117,13604
Idaho,2007,37893,8022
Illinois,2007,47938,12274
Indiana,2007,39033,10230
Iowa,2007,42366,10870
Kansas,2007,43486,11689
Kentucky,2007,36211,10260
Louisiana,2007,40890,11890
Maine,2007,40849,13612
Maryland,2007,55285,15639
Massachusetts,2007,56755,16074
Michigan,2007,39600,11832
Minnesota,2007,47641,11665
Mississippi,2007,33761,9223
Missouri,2007,40770,10884
Montana,2007,38389,11180
Nebraska,2007,44248,12063
Nevada,2007,47234,9437
New Hampshire,2007,49356,13825
New Jersey,2007,58051,21440
New Mexico,2007,36912,10785
New York,2007,54406,20332
North Carolina,2007,40288,8904
North Dakota,2007,42238,10749
Ohio,2007,40582,12022
Oklahoma,2007,39804,9338
Oregon,2007,40783,10964
Pennsylvania,2007,45714,13514
Rhode Island,2007,46710,16710
South Carolina,2007,37112,10688
South Dakota,2007,42173,9853
Tennessee,2007,39047,9190
Texas,2007,42081,10000
Utah,2007,37442,6940
Vermont,2007,44368,17305
Virginia,2007,50360,12467
Washington,2007,48877,10444
