State,Year,Income per Capita,Percentage of 6-17 Year-Olds in Poverty
Arizona,1981,27465,17
Arkansas,1981,21962,30
California,1981,33645,15
Colorado,1981,31377,8
Connecticut,1981,35365,12
Delaware,1981,30428,16
District of Columbia,1981,36086,31
Florida,1981,29121,23
Georgia,1981,24428,20
Hawaii,1981,32464,10
Idaho,1981,24425,18
Illinois,1981,31085,19
Indiana,1981,26245,14
Iowa,1981,27906,12
Kansas,1981,29042,12
Kentucky,1981,23118,21
Louisiana,1981,25566,28
Maine,1981,23941,25
Maryland,1981,32443,13
Massachusetts,1981,30413,12
Michigan,1981,28022,17
Minnesota,1981,28798,10
Mississippi,1981,20383,31
Missouri,1981,26740,15
Montana,1981,26376,14
Nebraska,1981,27806,17
Nevada,1981,32902,9
New Hampshire,1981,28744,9
New Jersey,1981,33579,14
New Mexico,1981,24395,25
New York,1981,31397,19
North Carolina,1981,23697,20
North Dakota,1981,26868,17
Ohio,1981,27640,12
Oklahoma,1981,28162,15
Oregon,1981,27832,16
Pennsylvania,1981,28370,13
Rhode Island,1981,27973,17
South Carolina,1981,22518,18
South Dakota,1981,24700,24
Tennessee,1981,23413,25
Texas,1981,29149,21
Utah,1981,23208,11
Vermont,1981,25025,14
Virginia,1981,29882,17
Washington,1981,30921,15
West Virginia,1981,22241,19
Wisconsin,1981,27829,10
Wyoming,1981,32476,10
Alabama,1982,22257,32
Alaska,1982,46235,10
Arizona,1982,26634,16
Arkansas,1982,21750,31
California,1982,33151,19
Colorado,1982,31529,12
Connecticut,1982,35853,14
Delaware,1982,30725,13
District of Columbia,1982,36411,24
Florida,1982,28878,25
Georgia,1982,24563,24
Hawaii,1982,31768,13
Idaho,1982,23708,19
Illinois,1982,31041,19
Indiana,1982,25630,15
Iowa,1982,27248,17
Kansas,1982,29462,14
Kentucky,1982,23121,24
Louisiana,1982,25459,34
Maine,1982,24343,22
Maryland,1982,32973,15
Massachusetts,1982,31396,15
Michigan,1982,27528,17
Minnesota,1982,28906,11
Mississippi,1982,20139,29
Missouri,1982,26929,15
Montana,1982,25903,15
Nebraska,1982,28136,18
Nevada,1982,31879,15
New Hampshire,1982,29467,10
New Jersey,1982,34061,14
New Mexico,1982,24510,25
New York,1982,32041,20
North Carolina,1982,23665,24
North Dakota,1982,27018,16
Ohio,1982,27308,17
Oklahoma,1982,28607,14
Oregon,1982,26905,15
Pennsylvania,1982,28564,17
Rhode Island,1982,28257,13
South Carolina,1982,22354,23
South Dakota,1982,24585,26
Tennessee,1982,23358,27
Texas,1982,29022,20
Utah,1982,23104,15
Vermont,1982,25326,12
Virginia,1982,30167,15
Washington,1982,30560,12
West Virginia,1982,22247,23
Wisconsin,1982,27620,9
Wyoming,1982,31239,7
Alabama,1983,23047,31
Alaska,1983,44869,11
Arizona,1983,27595,19
Arkansas,1983,22299,32
California,1983,34005,20
Colorado,1983,32075,17
Connecticut,1983,36880,14
Delaware,1983,31537,15
District of Columbia,1983,36896,34
Florida,1983,30295,24
Georgia,1983,25761,27
Hawaii,1983,33305,17
Idaho,1983,24683,17
Illinois,1983,31425,17
Indiana,1983,26114,18
Iowa,1983,27148,21
Kansas,1983,29602,15
Kentucky,1983,23188,24
Louisiana,1983,25455,30
Maine,1983,25118,18
Maryland,1983,34045,17
Massachusetts,1983,32903,15
Michigan,1983,28552,23
Minnesota,1983,29417,15
Mississippi,1983,20338,31
Missouri,1983,27759,17
Montana,1983,26119,19
Nebraska,1983,28217,17
Nevada,1983,32070,10
New Hampshire,1983,31039,12
New Jersey,1983,35535,19
New Mexico,1983,24886,29
New York,1983,33305,22
North Carolina,1983,24748,24
North Dakota,1983,27263,15
Ohio,1983,28100,18
Oklahoma,1983,27630,16
Oregon,1983,27789,22
Pennsylvania,1983,29036,21
Rhode Island,1983,29469,15
South Carolina,1983,23347,26
South Dakota,1983,24725,20
Tennessee,1983,24088,34
Texas,1983,29116,24
Utah,1983,23398,16
Vermont,1983,25995,15
Virginia,1983,31214,18
Washington,1983,31364,17
West Virginia,1983,22182,35
Wisconsin,1983,28215,11
Wyoming,1983,29708,10
Alabama,1984,24195,31
Alaska,1984,43485,12
Arizona,1984,29021,27
Arkansas,1984,23652,24
California,1984,35571,22
Colorado,1984,33174,16
Connecticut,1984,39388,15
Delaware,1984,32981,9
District of Columbia,1984,38581,31
Florida,1984,31470,23
Georgia,1984,27467,25
Hawaii,1984,33712,17
Idaho,1984,25078,23
Illinois,1984,33163,20
Indiana,1984,27758,23
Iowa,1984,29023,24
Kansas,1984,30967,17
Kentucky,1984,24803,23
Louisiana,1984,25939,26
Maine,1984,26462,16
Maryland,1984,35757,14
Massachusetts,1984,35327,11
Michigan,1984,30265,23
Minnesota,1984,31864,15
Mississippi,1984,21214,35
Missouri,1984,29317,20
Montana,1984,26258,17
Nebraska,1984,29956,15
Nevada,1984,32712,14
New Hampshire,1984,33015,10
New Jersey,1984,37491,17
New Mexico,1984,25666,28
New York,1984,35255,23
North Carolina,1984,26449,18
North Dakota,1984,27982,19
Ohio,1984,29747,17
Oklahoma,1984,28447,25
Oregon,1984,28770,21
Pennsylvania,1984,30113,21
Rhode Island,1984,30956,19
South Carolina,1984,24646,28
South Dakota,1984,26659,20
Tennessee,1984,25549,28
Texas,1984,30113,21
Utah,1984,24323,18
Vermont,1984,27325,22
Virginia,1984,32833,14
Washington,1984,31947,16
West Virginia,1984,23074,29
Wisconsin,1984,29662,13
Wyoming,1984,30023,17
Alabama,1985,25037,25
Alaska,1985,43804,10
Arizona,1985,29961,26
Arkansas,1985,24264,31
California,1985,36306,20
Colorado,1985,33443,10
Connecticut,1985,40552,8
Delaware,1985,34339,12
District of Columbia,1985,39402,35
Florida,1985,32490,24
Georgia,1985,28462,22
Hawaii,1985,34266,14
Idaho,1985,25340,24
Illinois,1985,33729,22
Indiana,1985,28287,16
Iowa,1985,29316,20
Kansas,1985,31477,14
Kentucky,1985,25011,22
Louisiana,1985,26028,28
Maine,1985,27382,19
Maryland,1985,37111,15
Massachusetts,1985,36674,14
Michigan,1985,31611,24
Minnesota,1985,32445,9
Mississippi,1985,21514,32
Missouri,1985,30151,21
Montana,1985,25701,14
Nebraska,1985,30559,19
Nevada,1985,33488,13
New Hampshire,1985,34523,6
New Jersey,1985,38605,17
New Mexico,1985,26392,25
New York,1985,36371,23
North Carolina,1985,27252,19
North Dakota,1985,28088,17
Ohio,1985,30522,18
Oklahoma,1985,28737,17
Oregon,1985,29077,18
Pennsylvania,1985,30987,23
Rhode Island,1985,31916,22
South Carolina,1985,25255,24
South Dakota,1985,26405,17
Tennessee,1985,26280,27
Texas,1985,30771,22
Utah,1985,24881,10
Vermont,1985,28337,14
Virginia,1985,33919,13
Washington,1985,32347,14
West Virginia,1985,23458,26
Wisconsin,1985,30119,19
Wyoming,1985,30619,19
Alabama,1986,25891,29
Alaska,1986,42450,10
Arizona,1986,31030,13
Arkansas,1986,24971,29
California,1986,37354,20
Colorado,1986,33823,12
Connecticut,1986,42571,14
Delaware,1986,35331,18
District of Columbia,1986,40405,42
Florida,1986,33562,23
Georgia,1986,29880,27
Hawaii,1986,35305,16
Idaho,1986,25547,18
Illinois,1986,34878,23
Indiana,1986,29314,14
Iowa,1986,30158,23
Kansas,1986,32320,17
Kentucky,1986,25303,24
Louisiana,1986,25573,22
Maine,1986,29010,16
Maryland,1986,38696,14
Massachusetts,1986,38681,15
Michigan,1986,32852,20
Minnesota,1986,33562,17
Mississippi,1986,21857,30
Missouri,1986,31049,20
Montana,1986,26519,17
Nebraska,1986,31096,18
Nevada,1986,34493,16
New Hampshire,1986,36476,5
New Jersey,1986,40258,13
New Mexico,1986,26525,24
New York,1986,38016,24
North Carolina,1986,28508,16
North Dakota,1986,28290,16
Ohio,1986,31387,19
Oklahoma,1986,28506,20
Oregon,1986,29986,15
Pennsylvania,1986,31993,14
Rhode Island,1986,33381,11
South Carolina,1986,26176,17
South Dakota,1986,27165,21
Tennessee,1986,27486,26
Texas,1986,30386,22
Utah,1986,25332,10
Vermont,1986,29769,15
Virginia,1986,35328,13
Washington,1986,33592,15
West Virginia,1986,23904,26
Wisconsin,1986,31157,12
Wyoming,1986,30111,13
Alabama,1987,26292,36
Alaska,1987,39665,13
Arizona,1987,31162,19
Arkansas,1987,24926,27
California,1987,37922,19
Colorado,1987,33627,17
Connecticut,1987,44588,12
Delaware,1987,36285,21
District of Columbia,1987,41152,24
Florida,1987,34084,15
Georgia,1987,30405,22
Hawaii,1987,35764,13
Idaho,1987,26003,23
Illinois,1987,35588,21
Indiana,1987,29923,16
Iowa,1987,30733,17
Kansas,1987,32429,14
Kentucky,1987,25794,24
Louisiana,1987,25119,29
Maine,1987,30095,11
Maryland,1987,39579,14
Massachusetts,1987,40213,13
Michigan,1987,32749,22
Minnesota,1987,34298,19
Mississippi,1987,22338,32
Missouri,1987,31357,20
Montana,1987,26576,22
Nebraska,1987,31517,19
Nevada,1987,34876,14
New Hampshire,1987,37865,2
New Jersey,1987,41649,14
New Mexico,1987,26424,28
New York,1987,39079,20
North Carolina,1987,29248,18
North Dakota,1987,28415,12
Ohio,1987,31642,20
Oklahoma,1987,27757,19
Oregon,1987,30261,14
Pennsylvania,1987,32628,14
Rhode Island,1987,34152,11
South Carolina,1987,26770,24
South Dakota,1987,27587,23
Tennessee,1987,28300,23
Texas,1987,29796,25
Utah,1987,25347,15
Vermont,1987,30885,15
Virginia,1987,36056,15
Washington,1987,33797,16
West Virginia,1987,23956,30
Wisconsin,1987,31580,15
Wyoming,1987,29039,18
Alabama,1988,27099,32
Alaska,1988,39519,16
Arizona,1988,31340,19
Arkansas,1988,25663,28
California,1988,38609,19
Colorado,1988,34146,17
Connecticut,1988,46862,10
Delaware,1988,37467,11
District of Columbia,1988,43858,27
Florida,1988,34995,19
Georgia,1988,31281,21
Hawaii,1988,37308,12
Idaho,1988,27019,19
Illinois,1988,36823,22
Indiana,1988,30635,14
Iowa,1988,30400,20
Kansas,1988,32541,10
Kentucky,1988,26956,21
Louisiana,1988,25780,38
Maine,1988,31283,15
Maryland,1988,40910,11
Massachusetts,1988,42149,11
Michigan,1988,33439,17
Minnesota,1988,34207,14
Mississippi,1988,23014,30
Missouri,1988,31775,16
Montana,1988,26355,21
Nebraska,1988,32226,15
Nevada,1988,36250,15
New Hampshire,1988,38970,5
New Jersey,1988,43689,14
New Mexico,1988,26569,25
New York,1988,41048,21
North Carolina,1988,30385,19
North Dakota,1988,25453,11
Ohio,1988,32462,19
Oklahoma,1988,28181,21
Oregon,1988,31186,16
Pennsylvania,1988,33831,15
Rhode Island,1988,35907,11
South Carolina,1988,27680,22
South Dakota,1988,27523,19
Tennessee,1988,29303,21
Texas,1988,30276,25
Utah,1988,25697,12
Vermont,1988,31870,14
Virginia,1988,37229,14
Washington,1988,34509,13
West Virginia,1988,24903,30
Wisconsin,1988,31911,10
Wyoming,1988,29175,13
Alabama,1989,28105,24
Alaska,1989,40995,13
Arizona,1989,31365,22
Arkansas,1989,26226,29
California,1989,38650,19
Colorado,1989,35098,15
Connecticut,1989,48366,3
Delaware,1989,39152,13
District of Columbia,1989,45042,28
Florida,1989,36284,19
Georgia,1989,31690,22
Hawaii,1989,39234,17
Idaho,1989,28182,14
Illinois,1989,37340,19
Indiana,1989,31665,12
Iowa,1989,31538,10
Kansas,1989,32658,9
Kentucky,1989,27650,17
Louisiana,1989,26352,33
Maine,1989,32051,18
Maryland,1989,41523,12
Massachusetts,1989,42152,13
Michigan,1989,34230,17
Minnesota,1989,35356,16
Mississippi,1989,23834,38
Missouri,1989,32359,10
Montana,1989,27744,17
Nebraska,1989,32515,15
Nevada,1989,36806,12
New Hampshire,1989,38997,7
New Jersey,1989,44670,8
New Mexico,1989,26919,28
New York,1989,42235,20
North Carolina,1989,31190,17
North Dakota,1989,27620,13
Ohio,1989,33227,17
Oklahoma,1989,28821,23
Oregon,1989,32188,10
Pennsylvania,1989,34899,17
Rhode Island,1989,37165,13
South Carolina,1989,28366,21
South Dakota,1989,28326,20
Tennessee,1989,29818,26
Texas,1989,30630,25
Utah,1989,26092,14
Vermont,1989,33174,13
Virginia,1989,37863,15
Washington,1989,35608,11
West Virginia,1989,25493,18
Wisconsin,1989,32983,10
Wyoming,1989,30923,10
Alabama,1990,28185,23
Alaska,1990,40754,15
Arizona,1990,30654,22
Arkansas,1990,26065,24
California,1990,38300,20
Colorado,1990,34948,15
Connecticut,1990,47090,2
Delaware,1990,38344,12
District of Columbia,1990,45844,27
Florida,1990,35556,18
Georgia,1990,31611,22
Hawaii,1990,39899,14
Idaho,1990,28436,12
Illinois,1990,37462,19
Indiana,1990,31513,20
Iowa,1990,31433,15
Kansas,1990,32804,15
Kentucky,1990,27719,19
Louisiana,1990,27124,30
Maine,1990,31328,12
Maryland,1990,41113,10
Massachusetts,1990,41134,13
Michigan,1990,33768,18
Minnesota,1990,35273,16
Mississippi,1990,23685,29
Missouri,1990,31882,16
Montana,1990,27669,22
Nebraska,1990,32907,18
Nevada,1990,36501,16
New Hampshire,1990,36895,8
New Jersey,1990,44200,12
New Mexico,1990,26981,28
New York,1990,42760,19
North Carolina,1990,30939,15
North Dakota,1990,28752,12
Ohio,1990,33271,15
Oklahoma,1990,28839,19
Oregon,1990,32189,13
Pennsylvania,1990,34918,17
Rhode Island,1990,35977,6
South Carolina,1990,28529,23
South Dakota,1990,29406,14
Tennessee,1990,29830,22
Texas,1990,30944,24
Utah,1990,26487,9
Vermont,1990,32224,8
Virginia,1990,37136,16
Washington,1990,35936,14
West Virginia,1990,25956,20
Wisconsin,1990,32752,9
Wyoming,1990,32041,13
Alabama,1991,28215,24
Alaska,1991,39591,15
Arizona,1991,30047,20
Arkansas,1991,26131,23
California,1991,37321,22
Colorado,1991,34690,18
Connecticut,1991,45363,8
Delaware,1991,38149,9
District of Columbia,1991,46306,30
Florida,1991,34569,25
Georgia,1991,31123,24
Hawaii,1991,39668,22
Idaho,1991,27886,19
Illinois,1991,36360,18
Indiana,1991,30786,16
Iowa,1991,30685,13
Kansas,1991,32377,13
Kentucky,1991,27852,18
Louisiana,1991,27218,37
Maine,1991,30401,20
Maryland,1991,40315,17
Massachusetts,1991,40137,16
Michigan,1991,32774,20
Minnesota,1991,34485,19
Mississippi,1991,23721,31
Missouri,1991,31736,16
Montana,1991,27991,22
Nebraska,1991,32493,9
Nevada,1991,36264,12
New Hampshire,1991,36652,8
New Jersey,1991,42895,14
New Mexico,1991,27122,25
New York,1991,40825,20
North Carolina,1991,30473,18
North Dakota,1991,27996,18
Ohio,1991,32369,17
Oklahoma,1991,28251,17
Oregon,1991,31741,11
Pennsylvania,1991,34656,17
Rhode Island,1991,34575,4
South Carolina,1991,27999,19
South Dakota,1991,29139,19
Tennessee,1991,29633,24
Texas,1991,30461,22
Utah,1991,26538,9
Vermont,1991,31233,14
Virginia,1991,36649,13
Washington,1991,36002,10
West Virginia,1991,25858,24
Wisconsin,1991,32254,11
Wyoming,1991,31890,12
Alabama,1992,29104,24
Alaska,1992,39743,15
Arizona,1992,30094,21
Arkansas,1992,27299,19
California,1992,37594,23
Colorado,1992,35488,14
Connecticut,1992,47419,14
Delaware,1992,38051,14
District of Columbia,1992,47749,32
Florida,1992,34835,27
Georgia,1992,31971,28
Hawaii,1992,40731,12
Idaho,1992,28928,17
Illinois,1992,37840,20
Indiana,1992,32057,23
Iowa,1992,31755,11
Kansas,1992,33445,15
Kentucky,1992,28814,21
Louisiana,1992,28063,24
Maine,1992,30855,22
Maryland,1992,40655,14
Massachusetts,1992,40907,14
Michigan,1992,33482,21
Minnesota,1992,35569,17
Mississippi,1992,24602,31
Missouri,1992,32582,17
Montana,1992,28350,16
Nebraska,1992,33221,12
Nevada,1992,37471,17
New Hampshire,1992,37054,7
New Jersey,1992,44398,17
New Mexico,1992,27596,31
New York,1992,41618,22
North Carolina,1992,31720,18
North Dakota,1992,29677,15
Ohio,1992,33258,18
Oklahoma,1992,28809,23
Oregon,1992,32271,16
Pennsylvania,1992,35322,15
Rhode Island,1992,35071,14
South Carolina,1992,28566,21
South Dakota,1992,30250,17
Tennessee,1992,30976,22
Texas,1992,31336,24
Utah,1992,27043,19
Vermont,1992,32220,18
Virginia,1992,37235,15
Washington,1992,36755,13
West Virginia,1992,26937,23
Wisconsin,1992,33429,16
Wyoming,1992,32299,9
Alabama,1993,29137,24
Alaska,1993,39902,12
Arizona,1993,30301,22
Arkansas,1993,27368,21
California,1993,37017,23
Colorado,1993,36109,11
Connecticut,1993,47508,15
Delaware,1993,37761,11
District of Columbia,1993,48495,31
Florida,1993,35211,22
Georgia,1993,32209,29
Hawaii,1993,40508,16
Idaho,1993,29777,20
Illinois,1993,37641,21
Indiana,1993,32457,13
Iowa,1993,30758,15
Kansas,1993,33657,12
Kentucky,1993,28707,23
Louisiana,1993,28450,32
Maine,1993,30833,17
Maryland,1993,40676,16
Massachusetts,1993,41087,18
Michigan,1993,34023,17
Minnesota,1993,35103,16
Mississippi,1993,25148,31
Missouri,1993,32760,17
Montana,1993,29105,15
Nebraska,1993,33026,15
Nevada,1993,37649,19
New Hampshire,1993,36803,10
New Jersey,1993,44054,13
New Mexico,1993,28087,28
New York,1993,41210,23
North Carolina,1993,32177,23
North Dakota,1993,29061,13
Ohio,1993,33431,18
Oklahoma,1993,28800,19
Oregon,1993,32823,12
Pennsylvania,1993,35382,15
Rhode Island,1993,35422,21
South Carolina,1993,28811,27
South Dakota,1993,30317,17
Tennessee,1993,31472,16
Texas,1993,31483,23
Utah,1993,27433,11
Vermont,1993,32186,11
Virginia,1993,37472,14
Washington,1993,36664,15
West Virginia,1993,26955,31
Wisconsin,1993,33742,15
Wyoming,1993,32639,13
Alabama,1994,29754,21
Alaska,1994,39928,9
Arizona,1994,31045,23
Arkansas,1994,27902,25
California,1994,36989,26
Colorado,1994,36807,11
Connecticut,1994,47433,13
Delaware,1994,37678,14
District of Columbia,1994,48861,52
Florida,1994,35363,27
Georgia,1994,32999,19
Hawaii,1994,39866,13
Idaho,1994,30076,14
Illinois,1994,38326,18
Indiana,1994,33318,11
Iowa,1994,32527,11
Kansas,1994,33996,15
Kentucky,1994,29138,24
Louisiana,1994,29351,39
Maine,1994,31312,16
Maryland,1994,41056,14
Massachusetts,1994,41814,16
Michigan,1994,35456,24
Minnesota,1994,36280,12
Mississippi,1994,26198,30
Missouri,1994,33499,21
Montana,1994,28587,15
Nebraska,1994,33939,14
Nevada,1994,38280,14
New Hampshire,1994,37928,15
New Jersey,1994,44121,16
New Mexico,1994,28457,19
New York,1994,41277,24
North Carolina,1994,32733,19
North Dakota,1994,30571,10
Ohio,1994,34233,18
Oklahoma,1994,29083,24
Oregon,1994,33631,14
Pennsylvania,1994,35540,18
Rhode Island,1994,35374,20
South Carolina,1994,29463,26
South Dakota,1994,31457,17
Tennessee,1994,32045,31
Texas,1994,31749,22
Utah,1994,28097,16
Vermont,1994,32628,15
Virginia,1994,37936,12
Washington,1994,36928,12
West Virginia,1994,27356,32
Wisconsin,1994,34599,16
Wyoming,1994,32795,12
Alabama,1995,30337,19
Alaska,1995,39793,13
Arizona,1995,31461,24
Arkansas,1995,28368,20
California,1995,37577,25
Colorado,1995,37859,9
Connecticut,1995,48484,20
Delaware,1995,38156,9
District of Columbia,1995,48519,29
Florida,1995,36182,23
Georgia,1995,33811,19
Hawaii,1995,39295,13
Idaho,1995,30561,15
Illinois,1995,39246,18
Indiana,1995,33521,13
Iowa,1995,32756,14
Kansas,1995,34160,19
Kentucky,1995,29389,27
Louisiana,1995,29715,36
Maine,1995,31790,11
Maryland,1995,41255,19
Massachusetts,1995,42689,12
Michigan,1995,36159,18
Minnesota,1995,36931,14
Mississippi,1995,26564,29
Missouri,1995,33889,24
Montana,1995,28807,13
Nebraska,1995,34502,11
Nevada,1995,38726,17
New Hampshire,1995,38677,13
New Jersey,1995,45248,14
New Mexico,1995,29070,29
New York,1995,42203,23
North Carolina,1995,33383,18
North Dakota,1995,29660,11
Ohio,1995,34695,20
Oklahoma,1995,29269,21
Oregon,1995,34504,16
Pennsylvania,1995,36048,19
Rhode Island,1995,36227,13
South Carolina,1995,29977,19
South Dakota,1995,30912,18
Tennessee,1995,32851,20
Texas,1995,32342,26
Utah,1995,28998,10
Vermont,1995,33152,9
Virginia,1995,38242,12
Washington,1995,37222,14
West Virginia,1995,27422,21
Wisconsin,1995,35005,12
Wyoming,1995,33037,10
Alabama,1996,30498,23
Alaska,1996,39427,8
Arizona,1996,32008,25
Arkansas,1996,28832,23
California,1996,38423,23
Colorado,1996,38718,11
Connecticut,1996,49199,17
Delaware,1996,39043,18
District of Columbia,1996,49762,30
Florida,1996,36592,22
Georgia,1996,34660,16
Hawaii,1996,37956,14
Idaho,1996,30899,16
Illinois,1996,40232,20
Indiana,1996,34087,14
Iowa,1996,34527,15
Kansas,1996,35174,10
Kentucky,1996,30045,20
Louisiana,1996,29986,24
Maine,1996,32494,14
Maryland,1996,41588,14
Massachusetts,1996,43823,17
Michigan,1996,36652,14
Minnesota,1996,38260,10
Mississippi,1996,27121,35
Missouri,1996,34525,10
Montana,1996,28968,19
Nebraska,1996,36131,12
Nevada,1996,39488,12
New Hampshire,1996,39205,5
New Jersey,1996,46119,10
New Mexico,1996,29121,35
New York,1996,42984,23
North Carolina,1996,34001,19
North Dakota,1996,32102,13
Ohio,1996,35183,18
Oklahoma,1996,29812,25
Oregon,1996,35452,17
Pennsylvania,1996,36754,17
Rhode Island,1996,36313,17
South Carolina,1996,30568,32
South Dakota,1996,32990,17
Tennessee,1996,33135,19
Texas,1996,33103,23
Utah,1996,29862,9
Vermont,1996,33657,14
Virginia,1996,38526,16
Washington,1996,38266,15
West Virginia,1996,27728,25
Wisconsin,1996,35658,12
Wyoming,1996,33296,10
Alabama,1997,31136,21
Alaska,1997,40350,9
Arizona,1997,32894,31
Arkansas,1997,29206,20
California,1997,39378,24
Colorado,1997,39732,12
Connecticut,1997,51102,23
Delaware,1997,39308,13
District of Columbia,1997,51639,38
Florida,1997,37055,20
Georgia,1997,35219,19
Hawaii,1997,38068,16
Idaho,1997,30887,16
Illinois,1997,41234,17
Indiana,1997,34767,8
Iowa,1997,35182,12
