State,Year,"Average NAEP Proficency in Math and Reading, Grades 4 and 8",Income per Capita
New Mexico,2011,24,36587
New York,2011,34,54666
North Carolina,2011,37,38423
North Dakota,2011,40,50380
Ohio,2011,39,40658
Oklahoma,2011,29,41025
Oregon,2011,33,39685
Pennsylvania,2011,42,46104
Rhode Island,2011,36,46910
South Carolina,2011,31,35867
South Dakota,2011,37,46771
Tennessee,2011,27,39100
Texas,2011,33,43168
Utah,2011,37,36031
Vermont,2011,45,45222
Virginia,2011,40,49546
Washington,2011,39,46903
West Virginia,2011,26,35735
Wisconsin,2011,39,42920
Wyoming,2011,38,51845
Alabama,2013,27,37076
Alaska,2013,32,50968
Arizona,2013,32,37586
Arkansas,2013,32,37297
California,2013,29,49224
Colorado,2013,43,47662
Connecticut,2013,43,61648
Delaware,2013,37,45546
District of Columbia,2013,22,76558
Florida,2013,36,42174
Georgia,2013,34,38462
Hawaii,2013,34,45942
Idaho,2013,37,36736
Illinois,2013,36,47747
Indiana,2013,41,39252
Iowa,2013,40,45493
Kansas,2013,41,45142
Kentucky,2013,36,36805
Louisiana,2013,24,41876
Maine,2013,41,41592
Maryland,2013,43,54704
Massachusetts,2013,52,58182
Michigan,2013,33,39692
Minnesota,2013,47,48275
Mississippi,2013,22,34466
Missouri,2013,36,41326
Montana,2013,40,40008
Nebraska,2013,39,47926
Nevada,2013,30,39875
New Hampshire,2013,49,51845
New Jersey,2013,47,56290
New Mexico,2013,27,36552
New York,2013,36,55351
North Carolina,2013,37,39314
North Dakota,2013,39,54050
Ohio,2013,41,41719
Oklahoma,2013,30,42544
Oregon,2013,36,40498
Pennsylvania,2013,42,46956
Rhode Island,2013,38,47756
South Carolina,2013,31,36416
South Dakota,2013,37,46790
Tennessee,2013,34,40203
Texas,2013,35,44578
Utah,2013,39,37238
Vermont,2013,47,46225
Virginia,2013,41,49635
Washington,2013,43,48496
West Virginia,2013,28,36113
Wisconsin,2013,40,43950
Wyoming,2013,40,53688
